year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,series,trilogy,soundtrack,ref_video,read_count,scrape_count,,,
2007,2007.10.08,애니메이션,액션,수신연무,감독-세키타 오사무,http://data5.onnada.com/anime/201310/thumb300x400_2077629048_252bfff6_1paqk8.jpg,"제국이 어지러워지면 하늘의 인도를 받은 일곱 명의 영웅이 그 땅에 내려온다.@ 그들은 제각기 별의 문장을 지니고 있으며, 세상을 평정하기 위해 격동의 시대를 헤쳐 나간다고 한다.@ 육가종(六伽宗)의 총본산인 연통사(蓮通寺)에는 그 본당 깊숙한 곳에 황제조차 알지 못하는 한 자루의 검이 잠들어 있었다.@ 한 명의 영웅이 그 검을 뽑아들 때에 비로소 7개의 별 문장을 지닌 이들의 숙업이 결정된다.@ 백성들은 하늘로부터 선택받은 이 영웅들을 가리켜 이천신존(二天神尊)과 오신투사(五神?士)라 불렀다.@하지만 이천신존으로 꼽히는 파군(破軍)과 탐랑(貪狼)의 두 별은 서로가 서로를 먹으려 들어 결국에는 지상에 큰 화를 부르는 것으로 알려져 있었다.@ 두 별이 같은 시대에 나타날 경우 세상이 멸망한다고 일컬어지지만, 다행히도 지금까지는 두 별이 같은 시대에 출현한 적이 없었다.@ 그러나 지금 두 별의 문장을 지닌 이들이 맞부딪히면서 세상은 난세의 소용돌이 속으로 휘말려 든다.@탐랑의 문장을 지닌 제국의 장군 케이로우는 자신의 야망을 달성하기 위해 연통사로 숨어든다.@ 연통사 깊숙한 곳에 감추어져 있는 패자의 검 '현가난무(賢嘉爛舞)'를 탈취하는 것이 바로 그의 목적이었다.@ 그러나 이변을 눈치챈 소년 타이토우가 그의 앞을 가로막으면서, 파군의 별과 탐랑의 별이 맞서게 된다.@ 황위를 찬탈하여 나라를 장악하려는 케이로우와 그의 야망을 제지하기 위해 길을 나서는 타이토우.@.@.@ 각자 서로의 정의를 주장하며 첨예하게 대립하는 가운데, 일곱 개의 별이 모이는 그 순간 과연 무슨 일이 벌어질 것인지?",해외,일본,C2kk7uOq4XU,Studio Flag,-,12,-,-,-, 각본-세키지마 마요리 @캐릭터 디자인-아라카와 히로무,-,26,-,-,0,0,,,
2007,2007.10.07,애니메이션,코미디,메이플 스토리,-,http://data5.onnada.com/anime/201110/thumb300x400_A751_739966639_248eb514_anizone_net_20111006_203807.jpg,-,해외,일본,-,-,-,,-,-, 알 (R)|アル / 성우 : 쿠와시마 호우코 (KUWASHIMA HOUKO)|桑島法子,-,-,25,-,-,0,0,,,
2007,2007.10.07,애니메이션,"드라마,로맨스,학원",키미키스 pure rouge,감독-카사이 켄이치,http://data5.onnada.com/anime/201209/thumb300x400_A1704_2077629024_ad4aab24_0.JPG,"평범한 고등학생인 사나다 코이치는 갑작스레 어릴 적에 코이치의 친구인 아이하라 카즈키와 같이 놀았던 1살 연상이었던 누나, 미즈사와 마오와 재회하게 되었다.@@주인공인 코이치는 평소에 맘에 걸리던 호시노 유우미와 어렸을 때부터 남매처럼 지냈던 미즈사와 마오 사이에서 갈등하는데…@새학년에 들어서고 학교를 무대로 하여 다양한 매력의 여성인물들이 그려가는 사랑 이야기.",해외,일본,sLLJLeyWSDY,J.C.Staff,-,15,-,Enterbrain, 사나다 코이치 (SANADA KOUICHI)|?田光一 / 성우 : 히노 사토시 (HINO SATOSHI)|日野? (ひのさとし), 각본-츠치야 미치히로 @캐릭터 디자인-이와쿠라 카즈노리,-,24,-,sVNmvitjw0k,0,0,,,
2007,2007.10.06,애니메이션,"메카닉,SF",기동전사 건담 00 -더블오-,-,http://data5.onnada.com/anime/201101/thumb300x400_2048931593_51d2f7f7_gundam002b2bimg001_i9719953.jpg,줄거리를 등록하여주세요.,해외,일본,MLXZfWfbapY,-,-,12,-,-, 세츠나 F. 세이에이 (Setsuna F Seiei) / 성우 : 미야노 마모루 (MIYANO MAMORU)|宮野?守,-,-,25,-,hAIMGEe6sOA,0,0,,,
2007,2007.10.06,애니메이션,"마법,능력",수호캐릭터-,감독-야스다 켄지,http://data5.onnada.com/anime/201106/thumb300x400_A814_460819909_031ac56b_EC8898ED98B8ECBA90EBA6ADED84B0.jpg,"이야기 첫 시작에는 아무는 원작에서 4학년이었지만, ",해외,일본,Kb_DWC7MHXk,Satelight,-,전체,-,Peach Pit, 히나모리 아무 (AMU HINAMORI)|伊藤かな? / 성우 : 이토 카나에 (ITOU KANAE)|伊藤かな? (いとかなえ),-,-,-,-,-,0,0,,,
2007,2007.10.04,애니메이션,"메카닉,SF",드래고너트 더 레조넌스,감독-오노 마나부,http://data5.onnada.com/anime/201310/thumb300x400_2077629048_28e7fc8c_ayange.jpg,"하루카, 명왕성 우역으로부터, 지구에 다가오는 초거대 운석:타나토스.@ 혹성까지 능가하는 질량을 가진다.@ 타나토스의 접근은 인류에게 있어 저항하기 어려운 파멸을 의미하고 있었다.@ 그런 타나토스의 파멸에 대항하기 위해서 국제태양계개발기구ISDA에 의해 한 계획이 준비되었다.@ D프로젝트라고 이름붙여진 그것은 신형 우주 셔틀, 즉 토라고노-츠 부대에 의해 타나토스를 직접파괴한다고 하는 것이었다.@ 인류에 유일하게 남겨진 희망의 날개, 인류의 독지의 결정, 그것이야말로 토라고노-츠 부대.@ 그러나 그 정체는 오가사하라 근해에서 발견된 수수께끼의 생명체:토라곤을 이용한 생태병기였다!",해외,일본,duvcLBIzkSE,Gonzo,-,15,-,-, 카미시나 진 (JIN KAMISHINA) / 성우 : 오노 다이스케 (ONO DAISUKE)|小野大輔 (おのだいすけ),-,-,-,-,-,0,0,,,
2007,2007.10.03,애니메이션,드라마,샤먼 시스터즈,감독-니시타 마사요시,http://data5.onnada.com/anime/201310/thumb300x400_2077629048_757b59bf_1372_0.jpg,"미즈키와 시즈루는 남들과 다른 특수한 능력을 지니고 있다.@ 언니인 시즈루는 요괴를 볼 수 있으며, 동생인 미즈키는 요괴에게 홀리기 쉬운 체질이라는 것이 바로 그것이다.@ 그런 자매를 어떻게 키워야 할지 고민하던 가족들은 흉흉한 도시보다는 한적한 시골이 그나마 더 안전하리라는 판단 하에, 미즈키와 시즈루를 시골에 살고 있는 할머니, 할아버지에게 맡기게 된다.@어딘가 그리운 정취가 남아 있는 시골 마을에서 자매는 여러가지 사건들을 겪으면서 자연이나 요괴와 공존하는 것의 의미를 배우게 된다.@ 할머니, 할아버지와 마을의 다른 사람들이 극히 자연스럽게 행해온 풍습이나 공양을 통해서, 아직 어린 시즈루와 미즈키는 자연을 사랑하고 존중하는 마음, 이 땅에 뿌리를 내린 모든 것들과 더불어 살아가기 위한 방법을 조금씩이나마 배워나가게 되는데.@.@.",해외,일본,00h3U8aaCPc,"매드하우스, 테즈카 프로덕션",-,12,-,쿠마쿠라 타카토시, 히바라 시즈루|檜原 ?流 / 성우 : 카와스미 아야코 (KAWASUMI AYAKO)|川澄綾子 (かわすみあやこ), 각본-나가츠 하루코 @캐릭터 디자인-카와구치 토시오,-,24,-,XwT1JqrrAGc,0,0,,,
2007,2007.10.03,애니메이션,"드라마,학원,SF",블루 드롭 -천사들의 희곡-,감독-오오쿠라 마사히코,http://data5.onnada.com/anime/201211/thumb300x400_2077629024_6ece304a_1.png,"1995년.@ 일본의 한 섬에서 섬주민 800여명이 하룻밤에 모습을 감추는 전대미문의 사건이 발생한다.@ 원인은 불명.@ 마치 신이 숨겨버린 듯한 그 괴이한 사건은 이후로 '카미카쿠시(神?) 사건'이라 불리게 되었고, 섬에는 모든 기억을 잃은 소녀 한 명만이 남겨져 있었다.@그로부터 5년 후, 16세가 된 소녀 마리는 그동안 자신을 맡아 길러준 할머니 곁을 떠나 기숙사제 여학교인 사립 카이오 학원에 편입하게 된다.@ 그곳에서 마리가 대면하게 된 소녀 하기노는, 반장으로서의 직무를 완벽하게 수행해 내며 다른 학생들로부터도 신망을 받는 성실한 학생이었지만, 마리의 손에 닿은 순간 폭주하여 마리에게 덤벼들어 목을 조르기 시작한다.@ 그 후 다른 학생들 앞에서는 아무 일도 없었다는 듯이 행동하는 하기노에게 분노와 반발심을 품으면서도, 어째서인지 마리는 하기노에게 이끌리고 만다.@ 사실 하기노는 지구를 침략하기 위한 조사부대로서 보내져 온 외계인이었고, 카미카쿠시 사건 역시 하기노가 함장을 맡고 있는 전함 블루에 의해 일어난 것이었다.@ 그러나 4년 전의 그 날, 블루의 승무원 200명과 섬 주민들 간에는 이유도 알지 못한 채 서로를 죽이는 참극이 벌어졌다.@ 그 결과 블루도 큰 피해를 입어 상황을 재정비하지 않으면 안 되었고, 하기노 역시 블루의 수복을 기다리는 동안 인간 사회에 숨어들어 나름대로 조사를 진행해 왔던 것이다.@처음에는 반 아이들과 부딪히기도 했지만, 학교 생활을 통해 이윽고 조금씩 반에 어울려 들어가는 마리.@ 지금까지 자신의 정체와 성격을 속이며 살아왔던 하기노는 마리와의 만남을 계기로 정면으로 '인간'과 마주하게 된다.@ 그러는 사이 자신들에게 주어졌던 사명에 의문을 느끼기 시작한 하기노의 뒤로, 그 누구도 눈치채지 못하게 침략 전쟁은 시작되려 하고 있었는데.@.@.",해외,일본,Nx4bbi6FhaU,"Bestack, 아사히 프로덕션",-,15,-,요시토미 아키히토, 와카타케 마리 (WAKATAKE MARI)|若竹マリ / 성우 : 야지마 아키코 (YAJIMA AKIKO)|矢島晶子," 각본-타카하시 나츠코, 오오쿠라 마사히코 @캐릭터 디자인-타케다 이츠코",-,13,-,Ah32U6-Lyjg,0,0,,,
2007,2007.10.03,애니메이션,미스테리,멋진 탐정 라비린스,감독-와타나베 히로시,http://data5.onnada.com/anime/201210/thumb300x400_2077629024_ca46675f_1.jpg,"지금은 잊혀진 도시가 되어버린 옛수도 토쿄.@ 오래전 일본의 중심지였던 이 곳은 '대붕괴'라 불리우는 대지진 이후 수도로서의 기능이 모두 신도시로 이동되면서 점차 잊혀진 공간으로 남게 되었다.@ 오랫동안 살아온 구도시를 떠나지 못하고 남아 있는 사람들도 있었지만, 시대로부터 버림받은 시가지는 점차 황폐해져 마치 미궁과 같은 모습으로 변모하였다.@ 그것이 바로 '라비린스(미궁)'라 불리게 된 지금의 토쿄의 모습이었다.@ 그리고 그 피폐해진 모습에 걸맞게 다양한 괴사건들이 빈번하게 일어난다.@ 사람의 인지능력을 초월하는 그런 괴사건들을 일컬어 사람들은 '환몽사건'이라 부르기 시작했다.@ 구도시에서 살고 있는 11세의 소년 탐정 휴가 마유키는 '신지(神智)'라는 특수한 능력을 사용하여 환몽사건을 해결하기로 정평이 나 있는 탐정이다.@ 마유키는 구도시의 사람들이 얽혀드는 불가해한 괴사건들을 메이드인 하츠미, 집사인 세이란과 함께 하나하나 해결해 나가는데.@.@.",해외,일본,JrNHluheZwc,스튜디오 딘,-,12,-,-, 휴가 마유키 (HYUUGA MAYUKI)|日向マユキ / 성우 : 사와시로 미유키 (SAWASHIRO MIYUKI)|?城みゆき (さわしろみゆき), 각본-타카하시 나츠코 @캐릭터 디자인-아키야마 유키코,-,25,-,GkhKaaIy6Jg,0,0,,,
2007,2007.10.03,애니메이션,"드라마,로맨스,학원,미스테리",Myself - Yourself,감독-QZo,http://data5.onnada.com/anime/201310/thumb300x400_2077629048_db003c3a_fufsla.jpg,"W현의 남쪽에 자리잡아 태평양를 등지고 있는 인구 5000명 가량의 조용한 시골 마을인 사쿠라노모리(?乃杜), 이 마을에서 태어나 자라던 히다카 사나는 부모의 일로 도쿄로 이사하였다가 5년 만에 돌아오게 된다.@ 5년이나 시간이 지나 변한 마을의 풍경에 신선함을 느끼고 함께 어울린 소꿉친구들인 슈리와 슈스케 남매, 사촌누나인 아오이를 만나게 된다.@ 그리고 첫사랑 상대였던 나나카는 상냥함은 사라지고 무슨 일이 있었던 듯이 거짓말처럼 차가운 태도로 맞아주는데…",해외,일본,injJSZ5p9xk,동화 공방,-,15,-,"Regista, Yeti", 히다카 사나 (HIDAKA SANA)|日高佐菜 / 성우 : 타치바나 신노스케 (TACHIBANA SHINNOSUKE)|立花?之介, 각본-잣파 고우 @캐릭터 디자인-히라츠카 토모야,-,13,-,lMiEAdb-wBY,0,0,,,
