year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,awards,series,soundtrack,amount,ref_video,read_count,scrape_count
1998,1998 .04.18,영화,액션,고수,김춘식,https://movie-phinf.pstatic.net/20111223_171/1324619206563tIEs2_JPEG,"1930년대 일제하. 친일파인 유기봉은 자신의 입지를 넓히고자 외동딸 승희를 일본의 실력자 노무라의 아들에게 시집 보내려 한다. 이에 승희는 연인 형철과의 사랑을 위해 아무도 없는 외딴섬으로 도주를 시도한다. 하지만 아버지가 보낸 부하들에게 계속 쫓기게 되는데, 어느 부둣가에서 잠을 자고 있는 거지 소동에게 돈을 주며 자신들을 도와달라고 부탁한다. 소동, 승희, 형철은 식당에서 마주친 승희 아버지 부하들과의 격투 중 자신들을 도와주는 달구를 만난다. 결국, 네 사람은 함께 도주하지만 소동은 마음의 짐이 되어 승희와 형철을 달구에게 떠넘기고 몰래 빠져 나오다가 마을에 붙은 승희와 형철을 찾는 현상 포스터를 보고는 돈의 유혹을 이기지 못하고 승희와 형철에게 다시 접근하는데...",국내,한국,-,-,-,청소년 관람불가,93분,-,-,-,-,-,-,-,-,0,0
1998,1998 개봉,영화,애니메이션,구슬 동자,-,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,-,해외,일본,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
1998,1998 .03.14,영화,드라마,그리고 삶은 계속된다,압바스 키아로스타미,https://movie-phinf.pstatic.net/20111221_85/1324474469425FVH7o_JPEG,-,해외,이란,-,백두대간,백두대간,NR,95분,-,-,-,-,-,-,-,-,0,0
1998,1998 .09.26,영화,"코미디, 멜로 / 로맨스",금지옥엽2,진가신,https://movie-phinf.pstatic.net/20111216_77/1324027871166zmMps_JPEG,주인공의 직업이 작곡자인 관계로 영화에 음악 비중이 크다.,해외,홍콩,-,-,-,NR,-,-,-,-,-,-,-,-,-,0,0
1998,1998 .08.22,영화,코미디,기막힌 사내들,장진,https://movie-phinf.pstatic.net/20111222_47/13245422976852faaq_JPEG,"감방 안에서의 퇴소식을 마치고 출소한 덕배(최종원 분)는 오랜 단짝인 식당 주인, 달수(양택조 분)를 찾아 간다. 두 사람은 단 한번도 성공해본 적이 없는 별만 무진장 많은 삼류 도둑들이다. 지금, 도시는 연쇄 살인 사건으로 떠들썩하다. 국어 사전을 늘 상 옆에 끼고 살며 스스로를 베테랑이라 인정하는 베테랑 형사(이경영 분)와 소위 한가닥한다는 형사들이 모여 수사 팀을 구성하고 사건 해결에 나서지만 범인의 흔적조차 찾지 못하고 사건은 점점 미궁 속으로 빠져든다.",국내,한국,-,-,-,15세 관람가,108분,-,-,-,-,-,-,-,-,0,0
1998,1998 .11.21,영화,드라마,까,정지영,https://movie-phinf.pstatic.net/20111222_202/1324556798002F1yjT_JPEG,은숙(조은숙 분)은 용우(박용우 분)와 다투고 자신도 모르게 빠져든 유부남 유석(김병세 분)과 하룻밤을 보낸다. 그러나 아침에 그녀를 반기고 있는 것은 달랑 수표 1장. 갑자기 비참해지는 은숙. 유석은 수표 1장 위에 자신의 명함을 놓아두고 다음에 또 연락이 올것이라 기대하지만. 사무실에서 그를 기다리고 있는 것은 그가 차버린 애인 유리(김보경 분). 유리는 유석에게 버림받은 이 시대의 사오정. 나레이터 모델로 심한 다이어트 휴우증에 시달리는 바보스럽도록 천진한 소녀. 너무도 인간적인 도둑 모자(독고영재 분)에게 몇 시간도 안돼 푹 빠지고 마는데.,국내,한국,-,정지영필름,시네마서비스,청소년 관람불가,102분,-,-,-,-,-,-,-,-,0,0
1998,-,영화,"코미디, 가족",나홀로 집에3,라자 고스넬,https://movie-phinf.pstatic.net/20111221_48/1324478272356eJa3W_JPEG,미 국방부는 일급 기밀 컴퓨터 칩을 도난당한다. 전문적이고 무자비한 절도 행위를 자행해온 국제 범죄 조직이 블랙 마켓에서 이 컴퓨터 칩을 대가로 수백만 달러를 요구하고 있다. 이 무자비한 범죄조직의 악당들은 무선 조정 자동차에 숨겨서 공항을 빠져 나오던 중 가방이 할머니 것과 바뀌는 사건이 발생한다.,해외,미국,-,-,-,전체 관람가,102분,-,-,-,-,-,-,-,-,0,0
1998,1998 .10.03 개봉,영화,"액션, 코미디, 스릴러",러시 아워,브렛 레트너,https://movie-phinf.pstatic.net/20111222_192/1324498126678rPuzw_JPEG,"LA 한복판에서 홍콩 고위 관리인 안(Consul Han: 취 마 분)의 딸이 납치된다. 수사에 나선 FBI는 납치사건을 조속히 해결하기 위해 대대적인 수사에 나서지만 납치범에 관한 어떠한 단서도 발견하지 못한다. 안은 FBI에게 그의 오랜 친구이자 홍콩 경찰청 최고의 형사 리(Detective Inspector Lee: 성룡 분)를 사건에 투입할 것을 강력히 제안한다. 마지못해 FBI는 안의 제안을 수락하지만 홍콩 출신의 강력반 형사 리가 사건 해결에 별 도움이 되지 않을 것으로 판단, LA 경찰청의 사고뭉치 형사 카터(Detective James Carter: 크리스 터커 분)를 그의 파트너로 선정한다. 하지만 리와 카터는 사건 해결은 커녕 서로 판이한 성격탓에 첫 만남부터 사사건건 충돌한다.@  그러던 어느날, 안과 FBI는 납치범으로 추측되는 한 단체로부터 괴전화를 받는다. 전화 추적 장치로 납치범의 위치를 파악한 FBI는 대대적인 테러진압반을 출동시키지만 납치범들은 이미 사라지고 출동대원들은 모두 사건현장에서 폭발사 당한다. 같은 시간, 리는 먼 발치에서 폭파 현장을 황급히 벗어나는 낯선 남자를 발견, 직감적으로 그가 이번 사건과 연계되었다고 판단하고 추적하지만 끝내 놓치고 만다. 더 이상 FBI를 믿을 수 없다고 판단한 리와 카터. 둘은 직접 납치범들을 찾아 나서 결국 납치범의 정체는 수년전, 리가 놓친 홍콩 최대 규모의 마약 조직 보스 준타오(JunTao: 데이비드 워너 분)였다는 것을 알게 된다. 리와 카터는 수소문 끝에 준타오의 아지트를 발견, 현장에 침입하지만 카터의 경솔한 공격으로 오히려 둘은 위기에 처한다.",해외,미국,FSahxMK7AL8,-,-,15세 관람가,95분,-,엘리자베스 페나 크리스 펜 티지 마 마크 롤스톤 필립 베이커 홀 톰 윌킨슨 크리스 터커 성룡 ,  짐 커프 Jim Kouf (각본) 로스 라마나 Ross LaManna (각본) 로스 라마나 Ross LaManna (원안) 로저 번바엄 Roger Birnbaum (제작) 아서 M. 사키시언 Arthur M. Sarkissian (제작) 조나단 글릭먼 Jonathan Glickman (제작) 아트 쉐퍼 Art Schaefer (공동제작) 제이 스턴 Jay Stern (기획) 아담 그린버그 Adam Greenberg (촬영) 랄로 쉬프린 Lalo Schifrin (음악) 게리 존스 Gary Jones (음악) 롭 윌슨 킹 Robb Wilson King (미술) 샤렌 데이비스 Sharen Davis (의상) 마크 헬프리치 Mark Helfrich (편집) 매튜 베리 Matthew Barry (배역),배우/제작진 수상 이력@수상정보 테이블표@1999@제 8회 MTV 영화 & TV 어워즈@후보@최고의 싸움상 (성룡)@후보@최고의 음악상 (제이-지: 'Can I Get A...')@후보@최고의 코믹연기상 (크리스 터커)@수상@최고의 콤비상 (성룡),-,-,-,FHfwRl2YnWc,0,0
1998,1998 .10.03 개봉,영화,"액션, 모험, 멜로/로맨스, 서부",마스크 오브 조로,마틴 캠벨,https://movie-phinf.pstatic.net/20111216_215/1324028004472wK9fs_JPEG,"{1821년, 3백년에 걸친 스페인의 멕시코 지배가 끝나갈 무렵, 산타 아나가 이끄는 반군이 북부, 캘리포니아에 진입하자 농민은 스페인 총독, 돈 라파엘 몬테로의 처형을 요구했다. 하지만 몬테로는 스페인에 돌아오란 명령을 거역하고 마지막으로 한번 더 자신의 힘을 과시했다.}@  전설적인 주인공 '조로' 돈 디에고 드 라 베가(Zorro / Don Diego De La Vega: 안소니 홉킨스 분)는 폭군 라파엘 몬테로에게 가족과 모든 것을 빼앗기고 감옥에 갇힌다. 이제 긴 폭정을 막을 그의 후계자를 찾아야 했고, 바로 이때 한때는 강도였던 알렉산드로 뮤리에다(Alejandro Murrieta / Zorro: 안토니오 반데라스 분)를 찾아낸다. 마스크, 검, 채찍으로 무장하고 칠흑 빛 종마 토네이도를 탄 새로운 조로. 몬테로가 캘리포니아를 사려는 계략을 막고, 20년간의 부정을 바로잡아 독재자의 노예로 살아온 멕시코인들에게 정의를 돌려주기위해 검을 뽑아든다.",해외,미국,qijvxEaoWzE,-,-,15세 관람가,136분,-,루이사 휴어타스 줄리에타 로즌 L.Q. 존스 빅터 리버스 조시 페레즈 윌리엄 마르케스 페드로 아멘다리즈 주니어 토니 아멘돌라 맷 레처 스튜어트 윌슨 캐서린 제타 존스 안소니 홉킨스 안토니오 반데라스 ,  존스턴 매컬리 Johnston McCulley (각본) 테리 로지오 Terry Rossio (각본) 존 에스코브 John Eskow (각본) 테드 엘리엇 Ted Elliott (각본) 테드 엘리엇 Ted Elliott (원안) 랜들 잔슨 Randall Jahnson (원안) 더그 클레이번 Doug Claybourne (제작) 데이빗 포스터 David Foster (제작) 존 게르츠 John Gertz (공동제작) 타바 R. 맬로이 Tava R. Maloy (협력프로듀서) 로리 맥도널드 Laurie MacDonald (기획) 월터 F. 파키스 Walter F. Parkes (기획) 스티븐 스필버그 Steven Spielberg (기획) 필 메히어스 Phil Meheux (촬영) 다니엘 알마다 Daniel Almada (조감독) 호르헤 L. 바론 Jorge L. Baron (조감독) 에프렌 델 모랄 Efren del Moral (조감독) 미구엘 리마 Miguel Lima (조감독) 시트라 F. 모이타바이 Chitra F. Mojtabai (조감독) 조지 패라 George Parra (조감독) 글렌 랜들 주니어 Glenn Randall Jr. (조감독) 니콜라스 울퍼트 Nicholas Wolfert (조감독) 제임스 호너 James Horner (음악) 마이클 앳웰 Michael Atwell (아트디렉터) 세실리아 몬티엘 Cecilia Montiel (미술) 데니스 카마르고 Denise Camargo (세트) 그레이시엘라 마존 Graciela Mazon (의상) 톰 노블 Thom Noble (편집) 조시 프란시스코 바론 Jose Francisco Baron (분장부문) 크리스틴 베버리지 Christine Beveridge (분장부문) 토머스 R. 버먼 Thomas R. Burman (분장부문) 오로라 차비라 Aurora Chavira (분장부문) 켄 디아즈 Ken Diaz (분장부문) 바리 드레이밴드 버먼 Bari Dreiband-Burman (분장부문) 로지 듀프랫 포트 Rosie Duprat Fort (분장부문) 힐다 앨리시아 곤잘레스 Hilda Alicia Gonzalez (분장부문) 에두아르도 고메즈 Eduardo Gomez (분장부문) 폴 르블랑 Paul LeBlanc (분장부문) 알프레도 모라 Alfredo Mora (분장부문) 가브리엘 솔라너 Gabriel Solana (분장부문) 제라도 페레즈 아레올라 Gerardo Perez Arreola (분장부문) 어윈 H. 큐피츠 Erwin H. Kupitz (분장부문) 칼라 티노코 Carla Tinoco (분장부문) 팜 딕슨 Pam Dixon (배역) 마리아노 카란코 Mariano Carranco (프로덕션매니저) 더그 클레이번 Doug Claybourne (프로덕션매니저) 알프레도 코르테스 Alfredo Cortes (프로덕션매니저) 낸시 제인 킹 Nancy Jane King (프로덕션매니저) 루즈 마리아 로자스 Luz Maria Rojas (프로덕션매니저),배우/제작진 수상 이력@수상정보 테이블표@2019@제 37회 뮌헨 국제영화제@후보@영화매리트 부문 (마틴 캠벨)@1999@제 71회 미국 아카데미 시상식@후보@음향믹싱상 (Kevin O'Connell)@후보@음향편집상 (Dave McMoyler)@제 56회 골든 글로브 시상식@후보@남우주연상-뮤지컬코미디 (안토니오 반데라스)@후보@작품상-뮤지컬코미디 (마틴 캠벨)@제 8회 MTV 영화 & TV 어워즈@후보@여우신인상 (캐서린 제타-존스)@후보@최고의 싸움상 (안토니오 반데라스 vs 캐서린 제타-존스)@1998@제 11회 유럽영화상@수상@베스트 유러피안 남우주연상 (안토니오 반데라스),-,-,-,FJCmbmHTU9k,0,0
1998,1998 .11.14 개봉,영화,드라마,미세스 브라운,존 매든,https://movie-phinf.pstatic.net/20111221_56/1324464811728uLAzW_JPEG,"{빅토리아 여왕은 1837년 18세에 왕좌에 올랐다. 20세대 색스코버그 왕가의 알버트 왕자와 결혼을 했고, 둘은 가장 행복한 왕족 부부였다. 1861년 대공이 장티푸스로 승하하자 여왕은 슬픔에 잠겼다.}@  영국의 절대 권력자 빅토리아 여왕(Queen Victoria: 쥬디 덴치 분)과 어려서 색스코버그 왕가의 알버트 왕자와 결혼하여 영국의 역대 어느 황실 부부보다 금슬좋게 살았다. 그러나 결혼생활 21년만에 대공이 장티푸스에 걸려 승하하자, 일찍 대공을 잃은 빅토리아 여왕은 깊은 비탄에 빠져 스코틀랜드의 별장에 내려가 장기간 은둔 생활을 하게 된다. 여왕이 국사의 일선에 나서지 않자 군주제의 정계에선 그녀의 필요성에 대해 의문을 가지는 일파가 생겨나기 시작했고, 심지어 군주제 자체에 대한 강한 의구심마저 생겨나게 된다.@  한편 빅토리아 여왕으로 하여금 은둔 생활을 벗어나게 하기 위한 복안으로 왕실이 제시한 방법은 알버트 대공의 생전에 대공에게 극진히 헌신하여 대공으로부터 충성심을 칭찬받았던 존 브라운(John Brown: 빌리 코노일리 분)을 빅토리아 여왕의 마부로 기용하는 것이었다. 주위의 모든 사람들의 따가운 시선에도 불구하고 존 브라운은 슬픔에 빠져있던 빅토리아 여왕의 가슴에 생기를 불어넣게 되고, 그리하여 여왕으로부터 두터운 신임을 얻게 된다.@  존 브라운과 여왕의 우정이 차츰 깊어지자 이들의 관계를 색다르게 해석하고 시기하는 자들이 속속 생겨나고, 그들로부터 여왕을 지키려는 브라운의 노력은 눈물겹기까지 하다. 심지어 존 브라운은 군주제 자체의 위기를 상기시키며 여왕이 대중 앞에 나서서 국사를 돌봐야만 한다는 진언도 서슴지 않는다. 여왕에 대한 브라운의 충정은 여왕에 대한 사랑에서 기인한 것이었지만, 세인들은 두 사람의 우정어린 친분에 대해 이러쿵 저러쿵 수근거리기 시작한다. 심지어 여왕을 가리켜 '미세스 브라운'이라고 부르며 그녀의 왕권을 비하하기 시작한다.",해외,미국,H8Qf79b-n4A,-,-,12세 관람가,103분,-,데이비드 위스데드 리처드 파스코 제프리 파머 안토니 쉐 빌리 코놀리 주디 덴치 ,  제레미 브락 Jeremy Brock (각본) 사라 커티스 Sarah Curtis (제작) 안드레아 칼더우드 Andrea Calderwood (기획) 나이젤 워렌-그린 Nigel Warren-Green (기획) 레베카 이톤 Rebecca Eaton (기획) 더글러스 래 Douglas Rae (기획) 리처드 그레이트렉스 Richard Greatrex (촬영) 스티븐 워벡 Stephen Warbeck (음악) 마틴 차일즈 Martin Childs (미술) 데어드르 클란시 Deirdre Clancy (의상) 로빈 세일즈 Robin Sales (편집) 폴 사로니 Paul Sarony (Ass-PD),배우/제작진 수상 이력@수상정보 테이블표@1998@제 18회 런던 비평가 협회상@수상@영국여우주연상 (주디 덴치)@제 4회 미국 배우 조합상@후보@영화부문 남우조연상 (빌리 코놀리)@후보@영화부문 여우주연상 (주디 덴치)@제 51회 영국 아카데미 시상식@수상@여우주연상 (주디 덴치)@수상@의상상 (데어드르 클란시)@제 70회 미국 아카데미 시상식@후보@분장상 (Lisa Westcott)@후보@여우주연상 (주디 덴치)@제 55회 골든 글로브 시상식@수상@여우주연상-드라마 (주디 덴치)@1997@제 10회 시카고 비평가 협회상@수상@여우주연상 (주디 덴치),-,-,-,kSmDlL8xrOU,0,0
