year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,series,trilogy,soundtrack,ref_video,read_count,scrape_count
2013,2013.12.21 01:53 (토),애니메이션,코미디,푸피포-,감독-스즈키 카오루,http://data5.onnada.com/anime/201312/thumb300x400_1988331732_9ea06d31_1-2.jpg,"와카바는 태어날때부터 사람에게는 보이지 않는 것이 보이는 체질.@ 이 때문에 가족, 동급생이나 친구가 없는 날이 계속 되었다.@ 그러던 어느날 길가에 푸피포라고 소리를 지르는 수수께끼의 분홍빛 폭신폭신한 생물을 발생하게 된 날부터 그녀의 일상은 변하기 시작하는데.@.@.",해외,일본,N-iDEp2EPkI,제작사-AIC Plus+,-,전체,-,원작오시키리 렌스케, 히메지 와카바 (HIMEJI WAKABA)|?路若葉 / 성우 : 사사키 시호 (SASAKI SHIHO)|佐?木詩帆, 각본-나카죠 토모후미 캐릭터 디자인-요코타 타쿠미,-,15,-,mPyQhfq3at8,0,0
2013,2013.10.09 00:30 (수),애니메이션,"SF, 미스테리, 판타지, 요괴, 퇴마",도쿄 레이븐즈,감독-카나사키 타카오미,http://data5.onnada.com/anime/201401/thumb300x400_1982298427_a4e8d092_1-4.jpg,"음양사 명가의 자손으로 태어났음에도 영기를 보지 못하는 16세 소년 츠치미카도 하루토라.@그는 음양술에 쓰이는 영력이 없어 지방에 있는 음양 학교의 분교에서 친구들과 평화로운 일상을 보내고 있었다.@어느 날, 하루토라 앞에 본가의 후계자이자 소꿉친구인 츠치미카도 나츠메가 나타났다.@그녀와의 만남은 하루토라의 운명을 크게 바꿔놓는다?!@나츠메를 만나고 한 사건을 겪은 이후로 하루토라는 나츠메와 식신 계약을 맺고 음양사를 육성하는 특수학교에 입학한다!",해외,일본,ZvGjPkMsCq8,제작사-8bit,-,15,-,원작아자노 코헤이, 츠치미카도 하루토라 (TSUCHIMIKADO HARUTORA)|土御門春虎 / 성우 : 이시카와 카이토 (ISHIKAWA KAITO)|石川界人 (いしかわかいと), 각본-쿠라타 히데유키 캐릭터 디자인-와타나베 아츠코 음악-이우치 마이코,-,24,-,g-HcGIino8g,0,0
2013,2013.10.09 01:30 (수),애니메이션,액션,BlazBlue - Alter Memory,감독-타치바나 히데키,http://data5.onnada.com/anime/201310/thumb300x400_2077629048_b5d9a900_1.jpg,인기 격투게임을 원작으로 한 애니메이션,해외,일본,rDqYDsw87n4,"제작사-TeamKG, 훗즈 엔터테인먼트",-,15,-,-, 라그나 더 블러드엣지 (RAGNA THE BLOODEDGE)|ラグナ=ザ=ブラッドエッジ / 성우 : 스기타 토모카즈 (SUGITA TOMOKAZU)|杉田智和," 각본-아카오 데코, 타카하시 타츠야 캐릭터 디자인-시타야 토모유키 음악-Arte Refact",-,12,-,Sw6Fq-p3-KA,0,0
2013,2013.10.08 01:35 (화),애니메이션,"스포츠, 코미디, 부활동",겁쟁이 페달,감독-나베시마 오사무,http://data5.onnada.com/anime/201403/thumb300x400_991326802_0c712fb7_1-4.jpg,도쿄 바로 옆인 치바현에 사는 오노다 사카미치. 초등학생때부터 자전거를 타고@왕복 90km나 되는 아키하바라에 다니던 근성 있는 오타쿠 소년이다.@고등학교에 입학해 애니 연구부를 만들려 하지만 이런저런 이유로 인해 결국 실패하고@우연히 그의 자전거에 대한 소질을 알게 된 전학생 나루코의 추천으로 전혀 생각하지도@않았던 자전거부에 들어가 숨겨졌던 재능을 발휘하기 시작하는데...,해외,일본,JhdLGdVNPss,제작사-TMS 엔터테인먼트,-,12,-,원작와타나베 와타루, 오노다 사카미치 (ONODA SAKAMICHI)|小野田坂道 / 성우 : 야마시타 다이키 (YAMASHITA DAIKI)|山下大輝 이마이즈미 ??스케 (IMAIZUMI SHUNSUKE)|今泉俊輔 / 성우 : 토리우미 코스케 (TORIUMI KOUSUKE), 각본-요시다 레이코 캐릭터 디자인-요시다 타카히코 음악-사와다 칸,-,38,-,4TDg9SYaLDY,0,0
2013,2013.10.08 02:05 (화),애니메이션,"학원, 드라마",논논비요리,감독-카와모 신야,http://data5.onnada.com/anime/201401/thumb300x400_1982298427_885e8dd9_1-6.jpg,부모님의 사정으로 시골로 이사오게 된 이치쇼우 호타루지만 코시가야 자매와 미야우치 자매를 만나게 되면서 즐거운 하루하루를 지내는데.@.@.,해외,일본,skQchJt2V7Y,제작사-실버 링크,-,12,-,원작앗토, 이치죠 호타루 (ICHIJOU HOTARU)|一?? / 성우 : 무라카와 리에 (MURAKAWA RIE)|村川梨衣," 각본-요시다 레이코, 시모 후미히코, 야마다 유카 캐릭터 디자인-오오츠카 마이 음악-미즈타니 히로미",-,12,-,VK31yvvppk8,0,0
2013,2013.10.08 02:55 (화),애니메이션,"액션, 전쟁, 능력",푸른 강철의 아르페지오 -아르스 노바-,감독-키시 세이지,http://data5.onnada.com/anime/201305/thumb300x400_2077629048_259a764c_001.jpg,"2038년, 가속되는 지구온난화로 전 세계가 저지대 및 해안가 수몰에 의한 재앙을 겪게 되었다.@ 그리고 그에 호응하듯 '안개의 함대'라 불리는 정체/소속 일체 불명의 유령함대가 세계각지의 근해에 나타나, 인류의 해군력을 간단히 분쇄하고 바다로부터 축출해 버린다.@ 이 '안개의 함대'의 특징은 구성 함정들이 하나같이 2차 대전시 사용된 구식 함선(특히 구 일본해군함)의 모습을 하고 있으나 에너지 실드, 레이저포, 중력포 등 인류를 아득히 능가하는 기술력으로 무장했다는 점@@이후 인류는 어떻게든 반격을 시도했으나 번번히 참패를 거듭한다.@ 그러던 중 일본 통제군 중령(중좌) '치하야 쇼조'가 '안개'의 잠수항모인 I-401을 나포하는데 성공, 드디어 반격의 실마리가 잡힌다.@ 그리고 쇼조 중령이 401을 운용하여 안개를 공격하는 작전이 입안되었으나, 어찌된 일인지 작전개시 직전 연락이 두절되고 곧 승조원이 모두 사라진 채 표류하던 401이 발견된다.@ 일본정부는 이를 회수하여 봉인해 버리고 치하야 쇼조가 인류를 배신하고 안개 측에 전향했다는 잠정결론을 내린다.@@세월이 지난 후, 쇼조의 아들이자 해양종합학교 생도였던 주인공 '치하야 군조' 앞에 봉인되었던 401이 나타난다.@ 학교의 동기들과 함께 401에 오른 군조는 401이 지닌 초과학의 힘을 이용해 안개의 함대에 맞서 싸우기 시작하는데.@.@.",해외,일본,4I9zfuf3bbQ,제작사-산지겐,-,15,-,원작Ark Performance, 치하야 군조 (CHIHAYA GUNJO)|千早群像 / 성우 : 오키츠 카즈유키 (OKITSU KAZUYUKI)|興津和幸, 각본-우에즈 마코토 캐릭터 디자인-모리타 카즈아키 음악-코우다 마사토,-,12,-,_YC4g3yQOjE,0,0
2013,2013.10.07 18:00 (월),애니메이션,"SF, 메카닉",건담 빌드 파이터즈,감독-나가사키 켄지,http://data5.onnada.com/anime/201310/thumb300x400_32642209_956b484d_28nb29.jpg,"때는 가까운 미래.@애니메이션 작품 『기동전사 건담』 플라스틱 모델――통칭『건프라』가, 1980년대에 일대 붐을 일으킨 후 몇년뒤.@지금, 제 2차 건프라 붐이라 불릴 새로운 흐름이 세계를 석권하고 있다.@그 인기를 견인하고 있는 것이 제작한 건프라 그 자체를 조종하여 싸우는 『건프라 배틀』의 존재다.@ 이 획기적인 배틀 시스템 등장으로, 인기가 확대되어 매년 건프라 배틀 세계대회가 개최되기에 이르렀다.@본편의 주인공, 이오리 세이 도 건프라를 사랑하고, 건프라 배틀 세계대회의 출장을 꿈꾸는 ？은 건프라 빌더(제작자)이다.@모형점의 외아들이라는 점도 있어서, 뛰어난 건프라 제작 능력을 가진 그지만, 배틀 조작에는 문외한이라, 대회에 출전해도 계속해서 첫 시합에서 탈락하였다.@ 그러한 그가, 탁월한 건프라 조작기술을 가진 소년, 레이지와 만나서 콤비를 짜고 세계대회에 도전한다!.@건프라 빌더, 세이 건프라 파이터 레이지.@세이가 만들고 레이지가 싸운다.@그들이 바로 소문이 자자한 빌드 파이터즈목표는, 건프라 배틀 세계대회에 출장 ？ 우승이다",해외,일본,tGA_xKm95zg,제작사-선라이즈,-,12,-,"원작토미노 요시유키, 야타테 하지메", 이오리 세이 (IORI SEI)|イオリセイ / 성우 : 코마츠 미카코 (KOMATSU MIKAKO)|小松未可子 레이지 (REIJI)|レイジ / 성우 : 코쿠류 사치 (GOKURYU SACHI, 각본-쿠로다 요스케 캐릭터 디자인-오오누키 켄이치 음악-하야시 유키,-,25,-,13X8-Scm3Do,0,0
2013,2013.10.07 00:00 (월),애니메이션,학원,메가네부-,감독-야마모토 소비,http://data5.onnada.com/anime/201309/thumb300x400_2077629048_c38c1f28_n_ver2.jpg,"세계 안경테 시장 점유율 20퍼센트 일본내 점유율 96퍼센트를 자랑하는 후쿠이현 사바에시.@ 주민의 여섯 명 중 한 명이 안경에 관련된 일을 하고 있는 이 지방 도시의 공고엔 별난 학생이 한 명 있었는데 안경을 너무나 사랑한 나머지 안경부라는 특별활동부를 만들기로 한 소년 소마 아키라.@ 인도어파인 소꿉친구 미나베 유키야, 왕자님 같은 외견에 단걸 좋아하는 하치미네 타쿠마, 아키라에게 푹 빠진 후배 카마타니 미츠키, 그리고 눈은 좋은데도 알없는 안경을 쓰고 다니는 무드메이커 키마타 하야토와 함께 정체불명의 부활동을 시작하는데.@.@.@.",해외,일본,Hzn27QC_xyE,제작사-스튜디오 딘,-,12,-,-, 소마 아키라 (SOMA AKIRA)|相馬鏡 / 성우 : 아카바네 켄지 (AKABANE KENJI)|赤羽根健治 카마타니 미츠키 (KAMATANI MITSUKI)|鎌谷光希 / 성우 : 미야타 코우키 (MIYATA KOUKI)|宮田幸季 하치미네 타쿠마 (HACHIMINE TAKUMA)|鉢嶺拓磨 / 성우 : 타마루 아츠시 (TAMARU ATSUSHI)|田丸篤志 미나베 유키야 (MINABE YUKIYA)|三鍋友紀也 / 성우 : 스와베 쥰이치 (SUWABE JUNICHI)|諏訪部順一 키마타 하야토 (KIMATA HAYATO)|木全?人 / 성우 : 키무라 료헤이 (KIMURA RYOHEI)|木村良平," 각본-아카오 데코 캐릭터 디자인-나카지마 아츠코 음악-츠츠미 히로아키, 하시모토 쇼타, 오사키 케이코",-,12,-,f6QQuijZ-Ew,0,0
2013,2013.10.07 01:05 (월),애니메이션,능력,은여우,감독-미사와 신,http://data5.onnada.com/anime/201304/thumb300x400_2077629048_50500aa9_1.jpg,에도시절부터 이어져 내려오는 작은 마을의 신사 딸인 고교 2학년 소녀 사에키 마코토.@ 그녀는 신의 전령이라 불리는 은여우 모습의 요수 긴타로가 보이는 신사의 정통 후계자로 비록 입은 거칠지만 미래를 보거나 잃어버린 물건을 찾아내는 등의 신력을 가진 긴타로와 함께 신사 주변에서 일어나는 자잘한 사건들을 해결하는데.@.@.,해외,일본,-,제작사-디오미디어,-,15,-,원작오치아이 사요리, 사에키 마코토 (SAEKI MAKOTO)|?木まこと / 성우 : 카네모토 히사코 (KANEMOTO HISAKO)|金元?子,-,-,-,-,-,0,0
2013,2013.10.07 20:30 (월),애니메이션,"학원, 마법, 하렘, 액션, 판타지",기교소녀는 상처받지 않아,감독-요시모토 킨지,http://data5.onnada.com/anime/201303/thumb300x400_2077629024_e876af40_1.jpg,"기교마술-그것은 마술회로를 탑재한 자동인형, 그리고 인형사에 의해 구사되는 마술.@ 그 최고 학부인 영국 발푸르기스 왕립기교학원에서는, 인형사의 최정상인 ‘마왕’을 가리는 싸움, 통칭 ‘야회’가 개최된다.@ 그리고 지금, 두 개의 그림자가 학원 교문을 들어섰다.",해외,일본,v3EMc5EFUYo,제작사-라르케,-,15,-,원작카이토우 레이지, 아카바네 라이신 (AKABANE RAISHIN)|赤羽雷? / 성우 : 시모노 히로 (SHIMONO HIRO)|下野紘 (しものひろ),-,-,-,-,-,0,0
2013,2013.10.06 01:35 (일),애니메이션,"드라마, 스포츠",더 파이팅 라이징,감독-시시도 쥰,http://data5.onnada.com/anime/201310/thumb300x400_32642209_7f3ec396_ention.jpg,타카무라 마모루와의 만남을 계기로 권투를 시작한 이후왕따에서 일본 페더급 챔피언의 자리까지 오른 청년 마쿠노우치 잇포.@무사히 3차 방어전을 치르고 4차 방어전을 앞두게 된 잇포는 진정한 강함에 대해 차츰 깨닫기 시작하는데.@.@.,해외,일본,V4eLB1iv1SA,"제작사-매드하우스, Mappa",-,12,-,원작모리카와 죠지, 마쿠노우치 잇포 (MAKUNOUCHI IPPO)|幕之?一? / 성우 : 키야스 코헤이 (KOHEI KIYASU)|喜安浩平," 각본-후데야스 카즈유키 캐릭터 디자인-스기우라 코지 음악-히라노 요시히사, 이마호리 츠네오",-,25,-,-,0,0
