year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,series,trilogy,soundtrack,ref_video,read_count,scrape_count
2008,2008.10.23,애니메이션,코미디,치카치카 폼폼이,-,http://data5.onnada.com/anime/201102/thumb300x400_2048931622_57f3ef48_ECA09CEBAAA9+EC9786EC9D8C.JPG,줄거리를 등록하여주세요.,국내,한국,JyeqhJqHQlA,-,-,-,-,-, 폼폼이,-,-,26,-,Sd-dV8i2SiE,0,0
2008,2008.10.12,애니메이션,BL,순정 로맨티카2,감독-콘 치아키,http://data5.onnada.com/anime/201310/thumb300x400_32642209_efbfbe01_1.jpg,"어릴 때 사고로 부모님을 잃고 형 타카하시 타카히로와 단 둘이 살아가던 타카하시 미사키.@ 미사키는 고등학교 3학년 때, 대학 진학 시험의 준비로 형의 친구이자 유명 작가 우사미 아키히코를 소개받는다.@ 곧 미사키는 우사미가 자신의 형과 우사미에 대해 쓴 소설을 발견하고, 또한 우사미가 자신의 형을 남몰래 좋아하고 있다는 것을 알아차려, 그를 탐탁찮게 여기게 된다.@ 하지만 자신의 형의 결혼 발표에 끝내 고백도 못하고 실연당한 우사미와 그의 타카히로를 향한 진실된 마음과 태도를 보며 우사미에 대한 감정이 변화하기 시작한다.@ 미사키의 대학 합격이 결정난 후 타카히로의 전근 소식에 우사미는 미사키에게 같이 살 것을 제안하여 둘은 동거를 시작한다",해외,일본,-,제작사-스튜디오 딘,-,19,-,원작나카무라 ??기쿠, 타카하시 미사키 (TAKAHASHI MISAKI)|高橋美? / 성우 : 사쿠라이 타카히로 (SAKURAI TAKAHIRO)|櫻井孝宏, 각본-나카세 리카 캐릭터 디자인-키쿠치 요코 음악-모카,-,12,-,-,0,0
2008,2008.10.10,애니메이션,"드라마, 코미디",노다메 칸타빌레 파리편,감독-콘 치아키,http://data5.onnada.com/anime/201102/thumb300x400_2048931593_67d07306_6052_ghost0221.jpg,"일본 모모가오카 음대에 다니는 치아키 신이치는 아버지가 피아니스트였던 관계로 유럽에서 클래식을 접하며 어릴때부터 여러가지 악기를 다뤘던 말 그대로 엄친아.@ 그는 유럽으로 유학을 가고 싶지만, 어릴적 비행기/배 사고 때문에 트라우마가 생겨서 유학을 못가는 실정이다.@ 그러던 어느날 술에 취해서 자신의 자취방 앞에 누워있던 그를 옆집의 노다 메구미가 자신의 방으로 옮기면서 이 둘의 이야기가 시작되는데.@.@.",해외,일본,lZm3HGdkpBA,제작사-J.C.Staff,-,12,-,원작니노미야 토모코, 노다메 (노다 메구미) (Nodame (Megumi Noda)) / 성우 : 카와스미 아야코 (KAWASUMI AYAKO)|川澄綾子 (かわすみあやこ)," 각본-에노키도 요우지 캐릭터 디자인-시마무라 히데카즈 음악-노다메 오케스트라, 마츠타니 스구루",-,11,-,-,0,0
2008,2008.10.09,애니메이션,SF,타이타니아,감독-이시구로 노보루,http://data5.onnada.com/anime/201107/thumb300x400_A943_2042247640_fd1d3577_740267775_c097a8a4_ED8380EC9DB4ED8380EB8B88EC9584.jpg,"광대한 우주에 진출한 인류는 많은 성간 국가를 구축했지만, 그 대부분은 실질적으로@타이타니아 일족의 지배하에 있었다. 성력 446 년 우주 도시 국가 에우리야의 권익을@둘러싼 문제에서 타이타니아의 공격을 받지만, 의외로 이를 격퇴하고 만다.@이 전투를 계기로 타이타니아의 패권을 흔쾌히 받아들일 생각이 없는 사람들이 움직이기 시작,@심지어 타이타니아의 내분도 얽혀 은하는 격동의 시대를 맞이하려하고 있었다.",해외,일본,O7kkzN_bEbM,제작사-아트랜드,-,12,-,원작타나카 요시키,-, 각본-카네마키 켄이치 캐릭터 디자인-스기미츠 노보루 음악-타카키 히로시,-,26,-,LPg9zI-uQS0,0,0
2008,2008.10.09,애니메이션,"학원, 공포, 미스테리",카오스 헤드,감독-이시야마 타카아키,http://data5.onnada.com/anime/201310/thumb300x400_32642209_16441a55_1.jpg,"고등학교 2학년인 니시죠 타쿠미는 낙제를 하지 않기 위한 최저 등교 계획표를 만들어 학교에 나가는 것 이외에는 철저히 자신의 아지트에 틀어박혀 지내는 반 히키코모리 소년이다.@ 가능한 한 3차원과는 관련되지 않은 채 2차원-인터넷의 세계에서 살아가고 또 그렇게 살아가기를 원하는 타쿠미였지만, '뉴제네레이션의 광기'를 계기로 자신이 원하지 않던 사건들에 말려들게 되고 마는데.@.@.",해외,일본,5cLA0P7dTw8,제작사-매드하우스,-,15,-,"원작Nitroplus, 5pb", 사키하타 리미|?畑 梨深 (さきはた りみ) / 성우 : 키타무라 에리 (KITAMURA ERI)|喜多村英梨 (きたむらえり), 각본-이노우에 토시키 캐릭터 디자인-시마무라 히데카즈,-,12,-,QZuSMHGj9YY,0,0
2008,2008.10.08,애니메이션,미스테리,망량의 상자,감독-나카무라 료스케,http://data5.onnada.com/anime/201107/thumb300x400_A870_599254014_3a9f8241_33400.jpg,"유즈키 카나코라는 이름의 소녀가 승강장에서 떨어져 기차에 치는 사고를 당한다.@ 무사시노 인근에서는 토막난 팔, 다리들이 차례로 발견되는 연쇄토막살인사건이 발생한다.@ 미타카에서는 '온바코 님'이라 불리는 정체불명의 영능력자가 나타나 교세를 확장한다.@ 일견 아무런 관련이 없을 듯 보이는 사건들이 줄줄이 일어나고 있는 가운데, 이를 해결하기 위해 사건에 접근하는 이들이 있었다.@ 카나코의 친구 쿠스모토 요리코와 카나코의 사고 현장에 있었던 경시청 소속 형사 키바 슈타로.@ 토막살인사건에 관심을 갖고 있는 기자 추젠지 아츠코, 토리구치 모리히코와 소설가 세키구치 타츠미.@ 마지막으로 모두를 한데 묶을 수 있는 접점인 쿄고쿠도의 등장까지.@.@.@ 전혀 다른 방향에서 사건의 중심점을 향해 모여든 이들이 조우하게 되는 경악할만한 진실은!?",해외,일본,8ZxPEWzIJs8,제작사-매드하우스,-,15,-,원작쿄우고쿠 나츠히코,-, 각본-무라이 사다유키 캐릭터 디자인-니시다 아사코 음악-무라이 슈세이,-,13,-,-,0,0
2008,2008.10.08,애니메이션,"드라마, 메카닉, 액션, 코미디",기가 트라이브,-,http://data5.onnada.com/anime/201101/thumb300x400_2048931593_e058cda6_ECA09CEBAAA9+EC9786EC9D8C.JPG,줄거리를 등록하여주세요.,국내,한국,xaqwi57GFoU,-,-,-,-,-, 강투지,-,-,39,-,805my6upNC4,0,0
2008,2008.10.07,애니메이션,액션,쿠로즈카,감독-아라키 테츠로,http://data5.onnada.com/anime/201202/thumb300x400_A940_2000720469_8096837f_naver_com_20120202_183738.jpg,카마쿠라 시대를 배경으로 펼쳐지는 뱀파이어의 이야기,해외,일본,7mBngcLec3E,제작사-매드하우스,-,19,-,"원작노구치 타카시, 유메마쿠라 바쿠",-," 각본-시라토 츠토무, 후지오카 요시노부, 아라키 테츠로 캐릭터 디자인-시노 마사노리 음악-요시다 키요시",-,12,-,E044yEQvHz4,0,0
2008,2008.10.06,애니메이션,"코미디, 학원",오늘의 5-2,감독-나가사와 츠요시,http://data5.onnada.com/anime/201008/thumb300x400_1026054309_587de75e_51erZVJk2B3L.jpg,"초등학교 5학년인 사토 료타와 친구들의 소소한 일상의 이야기를 옴니버스식으로 다루고 있는 작가의 데뷔작이 되는 단편 만화이다.@ 일상 이야기가 주를 이루지만, 때때로 사춘기에 접어들어 가는 아이들의 성에 관한 가벼운 효기심을 재밌게 그려내기도 하여, 웃음을 자아내게 한다 (하지만, 주인공인 료타는 이에 대해 관심이 없다).",해외,일본,jwhYeIJwU50,제작사-Xebec,-,12,-,원작사쿠라바 코하루, 사토 료타 (SATOH RYOUTA)|佐藤リョ?タ / 성우 : 코바야시 유우 (KOBAYASHI YUU)|小林ゆう, 각본-코노 타카미츠 캐릭터 디자인-치카오카 스나오 음악-하네오카 케이,-,13,-,E4dW_Iv0el0,0,0
2008,2008.10.06,애니메이션,드라마,스킵 비트,감독-사야마 키요코,http://data5.onnada.com/anime/201310/thumb300x400_32642209_6e4ffb6d_1.jpg,"자신을 꾸미는 것도 잊은 채 매일매일을 아르바이트로 보내는 소녀 모가미 쿄코.@ 중학교를 졸업하자마자 토쿄로 상경한 쿄코에게는 사실 한 가지 비밀이 있었다.@ 그것은 바로 한창 인기가 급상승 중인 가수 후와 쇼와 어릴 적부터 소꿉친구 사이라는 것.@ 어렸을 때부터 공주님 이야기를 동경하며 자라온 쿄코에게 있어서 쇼는 그야말로 왕자님 그 자체였고, 함께 상경을 한 뒤로도 모든 노력을 다 바쳐서 쇼를 돕고 있는 것이었다.@ 하지만 쇼의 최대 라이벌인 츠루가 렌의 방송 때문에 기분이 나빠진 쇼를 달래주기 위해 자신이 일하던 가게의 햄버거를 가지고 쇼가 있는 방송국으로 향한 쿄코.@ 하지만 그곳에서 쿄코는 자신을 그저 부려먹기 위해서 토쿄로 데려왔다는 쇼의 발언을 듣고 충격에 휩싸인다.@ 배신감에 치를 떠는 쿄코에게 쇼는 불만이 있으면 연예계로 들어와서 성공한 뒤 말하라는 이야기를 듣고서 변신을 결심한다.@ 과감히 머리를 자르고 이미지 변신을 한 쿄코는 쇼에게 복수해 주기 위해서 연예계로 들어갈 계획을 세우는데.@.@.",해외,일본,0odw3wg9SS4,제작사-HAL 필름 메이커,-,12,-,원작나카무라 요시키, 모가미 쿄코 (KYOUKO MOGAMI) / 성우 : 이노우에 마리나 (INOUE MARINA)|井上麻里奈 (いのうえまりな), 각본-세키지마 마요리 캐릭터 디자인-쿠마가이 테츠야 음악-타다 아키후미,-,25,-,59IiosZhxHY,0,0
