year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,awards,series,soundtrack,amount,ref_video
1994,1994 .06.11 개봉,영화,코미디,20달러의 유혹,케바 로젠펠드,https://movie-phinf.pstatic.net/20111223_164/1324587273878bxGIs_JPEG/movie_image.jpg,현금카드 서비스를 통해 나오는 빳빳한 20달러 짜리 지폐. 정신없이 바쁜 어머니가 호주머니안에 지폐를 챙겨넣기도 전에 바람에 의해 붐비는 도시 거리 속으로 날아가버린다. 바람에 떠도는 지폐를 발견하는 점쟁이는 지폐를 찾으러 도로 안에 뛰어든다. 그리고 그 지폐의 제조번호를 이용해 복권을 구입한다. 자신의 승리를 축하하는 동안 스케이트보드를 타고 지나가던 소녀에게 그 지폐를 빼앗긴다. 20달러 짜리 지폐는 여러 등장인물들의 손과 삶을 거치게 된다. 20달러짜리 지폐는 양심적인 도둑 지미(Jimmy: 크리스토퍼 로이드 분) 시시한 사기꾼 프랭크(Frank: 스티브 부세미 분) 젊은 작가 애밀리(Emily Adams: 엘리자베스 슈 분)의 손으로 들어가 뜻밖의 영향을 미친다. 또한 결혼 선물로서 샘(Sam Mastrewski: 브렌든 프레이저 분)의 손으로 들어가 총각 파티에서 스트리퍼(The Stripper/Funeral Director: 메로라 월터스 분)에게 주어진다. 스트리퍼에게서 점쟁이에게로 점쟁이에게서 젊은 연예인에게로 그리고 다시 교회 빙고 게임에서부터 살인 사건의 증거물로까지 사용된다. 폭력의 흔적에서부터 애정의 자국까지 다양한 사람들의 손을 거친 20달러짜리 지폐는 원래 그것의 가치보다도 희망과 변화의 상징으로서 등장인물들을 연결하는 역할을 한다.,해외,미국,ZY-ibVrL8KE,-,-,15세 관람가,91분,-,브렌든 프레이저 샘 젠킨스 조지 모포겐 데이비드 라쉐 린다 헌트 멜로라 월터스 크리스토퍼 로이드 스티브 부세미 엘리자베스 슈 ,  엔드레 보헴 Endre Bohem (각본) 레슬리 보헴 Leslie Bohem (각본) 제이슨 클락 Jason Clark (Line PD) 카렌 머피 Karen Murphy (제작) 엠마누엘 루베즈키 Emmanuel Lubezki (촬영) 데이비드 로빈스 David Robbins (음악) 조셉 T. 게리티 Joseph T. Garrity (미술) 수지 드산토 Susie DeSanto (의상) 마이클 루시오 Michael Ruscio (편집) 샤론 바이얼리 Sharon Bialy (배역) 데비 맨윌러 Debi Manwiller (배역) 리처드 파가노 Richard Pagano (배역),배우/제작진 수상 이력@수상정보 테이블표@1993@제 9회 선댄스영화제@후보@심사위원대상(미국 드라마) (케바 로젠펠드),-,-,-,yCFSOuCTaOM
1994,1994 .12.17 개봉,영화,"가족, 드라마",34번가의 기적,레스 메이필드,https://movie-phinf.pstatic.net/20111222_68/1324534871284Wfm2d_JPEG/movie_image.jpg,아빠없이 자란 수잔(Susan Walker: 마라 윌슨 분)은 모든 어린이들의 영원한 동경과 환상의 대상인 산타클로스 할아버지의 존재에 대해 의문을 갖는 소녀. 그러나 수잔의 이러한 생각은 엄마(Dorey Walker: 엘리자베스 퍼킨스 분)가 다니는 백화점에서 '산타'로 일하는 크리스의 등장(Kriss Kringle: 리차드 어텐보로 분)으로 완전히 바뀌게 된다.@  수잔에게 산타의 존재를 믿게 하려는 크리스의 노력으로 수잔은 물론이고 그 주변의 인물들도 마침내 사랑과 믿음 그리고 가족의 소중함에 대해 새로이 눈을 뜨기 시작한다. 산타클로스의 기적이 드디어 수잔의 가슴 속에 일어난 것이다.,해외,미국,Dc1hG5nFz9E,-,-,전체 관람가,114분,-,로버트 프로스키 마라 윌슨 윌리엄 윈돔 사이먼 존스 제인 리브스 제임스 레마 J.T. 월쉬 딜란 맥더모트 엘리자베스 퍼킨스 리차드 아텐보로 ,  존 휴즈 John Hughes (각본) 조지 시튼 George Seaton (각본) 발렌타인 데이비스 Valentine Davies (원작자) 조지 시튼 George Seaton (원작자) 존 휴즈 John Hughes (제작) 윌리엄 라이언 William Ryan (기획) 윌리엄 S. 비슬리 William S. Beasley (기획) 훌리오 매컷 Julio Macat (촬영) 랜디 돔 Randy Thom (사운드디자인) 브루스 브루톤 Bruce Broughton (음악) 더그 크라너 Doug Kraner (미술) 캐시 오레어 Kathy O'Rear (의상) 라자 고스넬 Raja Gosnell (편집) 제인 젠킨스 Jane Jenkins (배역) 자넷 허쉔슨 Janet Hirshenson (배역),-,-,-,-,-
1994,1994 .06.04 개봉,영화,"드라마, 액션",49일의 남자,김진해,https://movie-phinf.pstatic.net/20111221_228/1324461623283MaimA_JPEG/movie_image.jpg,어느날 프리랜서 라이터인 '나'(정보석 분)는 2년 전 헤어진 여자 서연(황미선 분)이 실종되었다는 사실을 '그들'을 통해 알게 된다. 서연이 실종된 지 41일째 되는 날에서 시작해서 49일째 되는 날 끝나는 이 영화에서 '그들' 즉 권력의 핵심부에 있는 노인은 하수인 '사이보그(최재영 분)'를 통해서 '나'로 하여금 서연의 행방을 찾도록 압력을 가한다. '나'는 누군가와 관련되는 것이 싫은 지극히 비사회적인 사람이며 정치에 대한 연상만으로도 무력증에 빠지는 지극히 반정치적인 인물이다. 그러나 '나'는 서연이 자신의 아이를 낳았을지도 모른다는 이야기때문에 그리고 마치 무소불위의 권능에 조종당하는 인형처럼 서연을 찾아나선다.@  서연과 관계했던 팬시점 주인 학원 강사 대중가수 이지훤 그리고 노인 등의 남자를 추적하면서 '나'는 서연에 대해 알 수 없는 질투와 깊은 상실감을 느끼게 되고 와중에 서연과 관계했던 남자들은 차례로 의문의 살인을 당한다. 그리고 서연도 '그들'-권력의 하수인-에 의해 죽었음을 그녀가 죽은 지 49일째 되는 날 알게 된다. 즉 '나'는 서연을 추적해나가면서 '서연'의 상처 - 맹목적인 권력과 물신화된 섹스의 희생자로서 -를 공유하고 있음을 깨닫고 마침내 '나'와 서연그리고 우리 모두를 패배시켰던 권력의 정체를 정면으로 응시하게 된다.@  결국 '나'는 내게 단지 3인칭의 여자였던 이를테면 '나'에게 성적인 의미에서 편의점의 캔맥주와 같았던 이웃의 피아노 교습소 여자 하영(이보희 분)에게서 진실한 사랑의 의미를 얻게 된다. 그리고 마치 전염병이 휩쓸고 지나간것같은 고립된 마을에서 산자로 남아 기쁠 것도 없는 새로운 사랑의 출발처럼 담담한 사람으로 돌아간다.,국내,한국,Sa_Wba9SDMA,-,-,청소년 관람불가,98분,-,황미선 송영창 이보희 정보석 ,  김유민 (각본) 김진해 (각본) 성석제 (각본) 장태일 (원작자) 정영편 (제작실장) 권용 (제작진행) 오해창 (제작진행) 김진해 (기획) 방해경 (기획) 방혜경 (기획진행) 김윤수 (촬영부) 안병길 (촬영부) 윤일중 (촬영부) 김석진 (촬영부) 안종성 (촬영부) 정광석 (촬영) 신학성 (조명) 원명준 (조명부) 지길수 (조명부) 박순봉 (조명부) 김재한 (조명부) 장화영 (연출부) 박영훈 (연출부) 홍준환 (연출부) 노은주 (연출부) 유대현 (동시녹음) 안상호 (붐오퍼레이터) 최경식 (음악) 김아라 (미술) 배윤경 (미술팀) 이경표 (미술팀) 최현주 (미술팀) 배월이 (세트) 최신희 (세트) 김승연 (미용) 정혜지 (분장) 이영인 (분장) 김현 (편집) 경민호 (네가편집) 변윤정 (네가편집) 주광동 (자막) 신순식 (운송) 신경만 (전력) 원신연 (스턴트) 윤종두 (옵티컬) 김종운 (마케팅부문) 함철훈 (무술감독) 강대성 (음향부문) 장현철 (주제곡) 양경희 (음악부문) 김용훈 (음향부문) 윤봉운 (음악부문) 김승을 (음향부문) 양경희 (음악부문) 이선비 (고증) 최금화 (사진) 양대호 (효과),배우/제작진 수상 이력@수상정보 테이블표@1994@제 32회 대종상 영화제@후보@신인감독상 (김진해),-,-,-,-
1994,-,영화,-,4인의 복수,숙영,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,청나라때 분실된 명화에 2차대전 당시 일본군이 중국인에게 행한 세균 무기 실험내용이 기록돼 있어 많은 사람들이 손에 넣기 위해 혈안이 돼있던 차 중국에서 총살형에 몰려 홍콩으로 밀입국한 화가 아웅은 우연한 기회에 그림을 손에 넣게 된다. 아웅의 애인 아청은 아웅을 찾기위해 홍콩에 왔다가 우연히 아봉을 만나 친한 사이가 된다. 아봉의 오빠는 그림을 찾다 살해된 암흑가 두목으로 그의 애인 아선이 그 자리를 차지한다. 아선은 일본에서 온 오오시마와 손잡고 아웅을 찾고 아봉과 친해진 아청은 경찰 아파의 도움으로 아웅을 찾게된다. 아청은 꿈에 그리던 아웅을 만나게 되지만 그는 중국으로 돌아가지 않으려하고 이때 아선과 오오시마 일당이 나타나 일대 혈전이 벌어진다. 이 싸움으로 아파는 숨을 거두고 아청과 아웅은 큰 부상을 입게된다. 의식을 잃은 아청을 차에 싣고 병원에 가려던 아웅은 경찰에게 그대로 돌진하는데.,해외,홍콩,2m0Bk_jyB1A,-,-,NR,96분,-,이새봉 양리칭 ,-,-,-,-,-,XvOegbNxKWk
1994,-,영화,-,B 타임의 정사 4,이광섭,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,한평생 오직 일에만 몰두한 대성그룹 한영수 회장은 어느날 갑자기 시한부 인생을 선고받는다. 한편 죽음을 눈앞에 두고 한 회장은 본인이 살아온 파란만장한 여로를 회상하게 된다. 가난을 참지못해 자식을 두고 달아난 어머니 오빠만을 믿고 굶주림 속에서 기다리던 동생을 잃어버린 암울한 기억의 유년 시절 잃어버린 어린 누이를 잊지 못해 사창가를 방황하던 청년 시절의 기억들 이젠 부귀와 명예를 누리며 안정된 생활을 하지만 살아온 세월의 아쉬움을 느끼는 한회장. 비서 실장의 소개로 밤무대 스트립 걸로 일하는 임정화의 여체에 빠지게 된 한 회장은 그녀의 삶 또한 자신처럼 암울한 기억을 갖고 있음을 알게 되고 깊은 연민을 느끼게 된다. 그러나 젊은 욕정을 참지 못한 비서 실장과 임정화 정사 장면은 한회장의 눈에 목격되고 이로 인해 쓰러지는 한회장. 결국 막대한 유산의 상속문제가 정해지는데 한회장은 임정화에게 일정 부분의 재산을 상속해 주고 재산의 반을 사회에 환원한다. 하지만 한회장의 배려에 죄책감을 느낀 비서실장과 임정화는 상속받은 유산을 한회장의 뜻을 받아 다시 사회에 환원하게 된다.,해외,한국,hYs7d_222FY,영서필름,-,청소년 관람불가,85분,-,김은지 나경훈 김재훈 이현석 서영호 이설산 김지은 채문성 정신아 황성영 한명구 김경주 ,  이광섭 (각본) 임갑환 (제작) 임충렬 (제작) 장동빈 (기획) 신양균 (촬영) 강광호 (조명) 손인호 (녹음) 이종식 (음악) 현동춘 (편집) 세방현상소 (현상) 이재희 (효과),-,-,-,-,0lhUEGvX7Qg
1994,1994 .04.16 개봉,영화,"드라마, 멜로/로맨스",M. 버터플라이,데이빗 크로넨버그,https://movie-phinf.pstatic.net/20111221_251/13244659758477FQBk_JPEG/movie_image.jpg,1964년 북경. 프랑스 대사관의 회계사 갈리마드(Rene Gallimard: 제레미 아이언스 분)는 푸치니의 '나비 부인'을 공연하는 중국 경극 배우 송 릴링(Song Liling: 존 론 분)에게 매혹된다. 한 파티에서 조그만 체격에 불어를 유창하게 구사하는 그녀와 대화를 나눌 기회를 갖게 된 갈리마드는 기혼자임에도 불구하고 그녀를 다시 만나기 위해 오페라를 보러가면서 둘의 관계는 발전된다. 영리하게도 송 릴링은 서양 남자와 동양 여자라는 점을 이용한다. 남자 앞에서 옷을 벗지 않아 이상하게 생각했던 갈리마드는 그것을 동양 여자 특유의 보수적인 태도와 수줍음으로 이해하게 된다. 감독은 남녀가 결정적인 '관계'없이 단순한 몸짓만으로 섹스가 가능함을 제시한다. 갈리마드가 부영사로 승진하여 기밀서류에 관여하게 되자 송 릴링은 미국의 베트남 정책 등의 정보를 빼내며 공산 체제의 유능한 스파이가 된다. 여자는 노예로 남자는 백인 악마로 성 역할를 해온 이들은 남자가 결국 벗은 몸을 요구하게 되자 임신했음을 고백한 여자는 아이를 낳기 위해 사라진다. 이야기는 1968년 파리로 넘어간다. 파리에서 공연하는 오페라 나비 부인을 보러 가는 갈리마드. 그는 이미 모든 정열을 잃은 상태이다. 작은 아파트에서 혼자 살고 있는 갈리마드는 잃어버린 사랑을 그리며 방안을 동양적인 분위기로 꾸며놓고 있다. 술에 취한 그는 마오거리의 프랑스 학생들의 데모 대열을 바라보며 중국을 떠나며 모든 것을 잃어버렸노라고 중얼거린다. 그리고 놀랍게도 그의 눈앞에 송 릴링이 아들을 데리고 나타난다. 그러나 이제 미천한 외교 급사일 뿐인 그는 정보 유출죄로 바로 체포되고 만다. 경찰의 조사 결과 자신의 아이를 낳아준 여자가 완벽한 남자였고 아이도 사실은 아무 관계없는 아이임이 드러나자 충격적인 사건의 주인공이 된다. 두사람은 모두 실형을 선고받았으나 중국과의 관계 악화를 우려한 정부의 사면조치를 받았다.,해외,미국,KMfOi0OzkU0,-,-,청소년 관람불가,101분,-,바바라 수코바 존 론 제레미 아이언스 ,  데이비드 헨리 황 David Henry Hwang (각본) 데이비드 헨리 황 David Henry Hwang (원작자) 가브리엘라 마르티넬리 Gabriella Martinelli (제작) 데이비드 헨리 황 David Henry Hwang (기획) 필립 샌드호스 Philip Sandhaus (기획) 피터 서스치즈키 Peter Suschitzky (촬영) 하워드 쇼어 Howard Shore (음악) 캐럴 스피어 Carol Spier (미술) 데니즈 크로넨버그 Denise Cronenberg (의상) 로널드 샌더스 Ronald Sanders (편집) 데아드르 보웬 Deirdre Bowen (배역),-,-,-,-,RXJTLXL5FBA
1994,1994 .09.03 개봉,영화,"액션, 가족, SF",VR 트루퍼,마이클 베이컨  사라 브라운,https://movie-phinf.pstatic.net/20111222_226/1324502781141K9JLN_JPEG/movie_image.jpg,-,해외,미국,HnPgOCA9nxQ,-,-,-,30분,-,T.J. 스톰 사라 브라운 마이클 베이컨 ,-,-,-,-,-,K4bL9KZEYZQ
1994,1994 .12.17 개봉,영화,액션,가라데 키드,크리스토퍼 케인,https://movie-phinf.pstatic.net/20111222_135/1324556305153kr2CU_JPEG/movie_image.jpg,17세의 줄리 피어스(Julie Pierce: 힐러리 스완크 분)는 어릴 때 부모를 잃고 성격이 거친 소녀로 자란다. 이제껏 그녀를 길러준 할머니에게도 버릇없이 대하고 학교의 불량소년단도 그녀앞에선 고양이 앞에 쥐격이다. 더구나 소녀에게 여자로 성장해 가는 줄리는 자신의 신체변화에 당황해한다. 어느날 돌아가신 할아버지의 친구인 가라데의 명인 미야기(Miyagi: 팻 모리타 분)가 우연히 줄리를 만나 그녀의 비뚤어진 생활을 고치고 선으로 이끌어 주기 위해 그녀를 맡아 기를 것을 제의한다. 그러던 어느날 폭주하는 자동차를 재빨리 피하는 줄리를 보고 미야기는 경악을 금치 못한다. 줄리의 몸에는 할아버지로부터 전해진 가라데의 정기가 깃들어 있었다. 드디어 미아기는 줄리와 함께 가라데의 본고장 일본의 산사로 입산한다. 그가 기다려왔던 적임자인 가라데 명인의 후예에게 무술을 전수해 준다. 그후 세월이 흘러 성숙한 여인이 된 줄리는 다시 미국에 나타나 불의와 맞선다.,해외,미국,pYjZm9Yi44I,-,-,12세 관람가,109분,-,월튼 고긴스 마이클 카바리에리 아세니오 소니 트린니대드 크리스 콘래드 콘스탄스 타워즈 마이클 아이언사이드 힐러리 스웽크 팻 모리타 ,  마크 리 Mark Lee (각본) 로버트 마크 케이먼 Robert Mark Kamen (각본) 제리 웨인트럽 Jerry Weintraub (제작) 수잔 에킨스 Susan Ekins (협력프로듀서) R.J. 루이스 R.J. Louis (기획) 빌 콘티 Bill Conti (음악) 월터 P. 마티시우스 Walter P. Martishius (미술) 트레이시 A. 도일 Tracey A. Doyle (세트) 로널드 루즈 Ronald Roose (편집) 조이 토드 Joy Todd (배역),-,-,-,287278,0cUTu7T6J5w
1994,1994 .05.14 개봉,영화,드라마,개인 교수 2 - 러브 렛슨,도미니크 오더닌-지라드,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,패션 사진작가 로렌은 촬영을 위해 마이애미로 향한다. 그녀는 꾸밈없는 감각적이고 혁신적인 이미지를 담아오라는 주문을 받았다. 로렌은 사업가 제니퍼와 쿠바인 운전기사 라울의 환영을 받는다. 라울이 떠났을때 로렌의 남편 스테판이 전화를 걸어 바람피운 것을 사과하나 그녀는 받아들일 기분이 아니었다. 로렌은 적당한 모델을 찾지 못한다. 로렌의 생각을 읽은 라울은 그녀를 나이트 클럽으로 데려간다. 그곳에서 로렌은 광란속에서 춤을 추는 한 야성적인 여자를 발견한다. 그녀는 그 정열적인 여자 마리사를 고용하기로 한다. 로렌은 라울이 개인박물관의 큐레이터라는 걸 알게되고 그들은 박물관내에서 아름다운 사랑을 나눈다. 로렌은 제니퍼의 전화를 받고 온 스테판의 방문을 받는다. 그를 보고 라울은 마음의 상처를 받는다. 로렌과 라울은 아무도 없는 해변에서 사랑을 나눈다. 로렌은 그들의 사랑만으로는 결혼을 깰수 없다고 한다. 두사람은 섬에서 돌아오고 로렌은 남편이 제니퍼와 은밀한 관계를 가지고 있었다는 것을 깨닫고 자유를 선택해 라울과 함께 떠난다.,해외,미국,-,-,-,청소년 관람불가,86분,-,시스토 놀라스코 플로란스 맥기 리처드 칼리넌 낸시 스트랜드버그 그레이엄 가스라이트 데어드리 이머신 데레사 모리스 레이 가라자 마리아나 모건 ,  번드 하이니 Bernd Heinl (촬영) 리처드 트레버 Richard Trevor (편집),-,-,-,-,-
1994,1994 .04.02 개봉,영화,"범죄, 드라마",거꾸로 가는 여자,오영석,https://movie-phinf.pstatic.net/20111222_279/1324530219015eMCsg_JPEG/movie_image.jpg,우리 사회에 만연된 물질 만능주의에 경종을 울리려는 것이 이 영화의 기획 의도라고. 또 관객들로 하여금 기업윤리와 사회윤리에 대해 다시한번 생각하게 만든다.@ 명화는 부유층의 외동딸로서 사장 비서실에서 근무하며 미모와 능력으로 많은 재계 인사들과 접촉하게 된다. 그러던 중 사장 아들 배상무와 깊은 관계를 갖게되나 그의 아버지 배사장 또한 흑심을 품고 장명화를 농락한다. 이를 배상무는 장명화를 배신하고 복수심에 불타는 장명화는 라이벌 그룹 회장에게 접근하여 배사장의 기업을 무너뜨리는데 공을 세우고 문회장의 총애를 받게 되고 대가로 요정을 차리게 된다. 그러던 와중 유모선씨의 유언을 통해 자신의 출생 비밀과 부모들의 죽음에 대해 알게 되고 윤회장을 향한 복수를 진행한다. 윤회장은 자신을 궁지로 몰아넣는 자가 장명화임을 깨닫고 그녀를 없애려 하지만 이 사건을 처음부터 추적해온 나기자가 죽음 직전의 장명화를 구출하게 된다. 이 사건으로 장명화는 나기자가 다른 감정이 있음을 깨닫고 그의 진실됨에 사랑의 감정이 싹트게 된다. 결국 궁지에 몰린 윤회장과 그녀의 배다른 동생 상철과 맞닥뜨리게 되고 모든 사실을 알게된 상철은 그녀를 이해하게 되고 윤회장은 모든 것을 잃은 괴로움과 자신의 잘못이 잉태한 혈육의 쌓아온 울분을 듣고 자살로서 삶을 마무리하게 된다. 모든 사실을 알게 되었지만 나기자는 이 사건을 기사화시키는 갓을 포기하고 장명화와의 사랑을 택하게 되는데.,국내,한국,90-chSRsDbo,-,-,청소년 관람불가,114분,-,최근제 오도규 김예령 강희 신찬일 정영국 안진수 김은아 추진영 정연주 홍진 김순영 김현숙 원준 송금식 정세혁 조학자 원종례 양택조 김형자 홍성민 문미봉 이종만 박병오 남영진 남성훈 강리나 ,  오영석 (각본) 정화자 (제작) 변상현 (기획) 양영길 (촬영) 손달호 (조명) 손인호 (녹음) 이종은 (음악) 현동춘 (편집),-,-,-,-,bMQwLauZOb4
