year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,series,trilogy,soundtrack,ref_video,read_count,scrape_count
2014,2014.10.26 10:00 (일),애니메이션,"학원, 배틀",카드파이트 뱅가드 G,감독-우메모토 유이,http://data5.onnada.com/anime/201410/thumb300x400_991326802_25b21108_1-1.jpg,줄거리를 등록하여주세요.,해외,일본,wC6-PT9pc7w,제작사-TMS 엔터테인먼트,-,12,-,"원작이토 아키라, 부시로드", 신도 크로노 (SHINDOU CHRONO)|新導クロノ / 성우 : 이시이 마크 (ISHII MARK)|石井マ?ク 안죠 토코하 (ANJOU TOKOHA)|安城トコハ / 성우 : 닛타 에미 (NITTA EMI)|新田?海 카츠라기 카무이 (KATSURAGI KAMU)|葛木カムイ / 성우 : 이시카와 시즈카 (ISHIKAWA SIZUKA)|石川? 이부키 코우지 (IBUKI KOUJI)|伊吹コウジ / 성우 : 미야노 마모루 (MIYANO MAMORU)|宮野?守 키바 시온 (KIBA SHION)|綺場シオン / 성우 : 에노키 쥰야 (ENOKI JUNYA)|?木淳? 토쿠라 미사키 (TOKURA MISAKI)|?倉ミサキ / 성우 : 킷타 이즈미 (KITTA IZUMI)|橘田いずみ 닛타 신 (NITTA SHIN)|新田シン / 성우 : 모리시마 슈타 (MORISHIMA SHUUTA)|森嶋秀太 안죠 마모루 (ANJYO MAMORU)|安城マモル / 성우 : 야나기타 쥰이치 (YANAGITA JUN`ICHI)|柳田淳一 타도 츠네트 (TADO TSUNETO)|多度ツネト / 성우 : 카코 리온 (KAKO RION)|加古臨王 야마지 카르 (YAMAJI KARU)|山路カル / 성우 : 오오츠카 코토미 (OOTSUKA KOTOMI)|大塚琴美 나가라 케이 (NAGARA KEI)|長良ケイ / 성우 : 타나카 신타로 (TANAKA SHINTAROU)|田中進太? 오카자키 쿠미 (OKAJAKI KUMI)|岡崎クミ / 성우 : 사사키 미코이 (SASAKI MIKOI)|佐?木未? 지부장|支部長 / 성우 : 오키아유 료타로 (OKIAYU RYOTARO)|置鮎龍太? 하이메 알카라스 (HAIME ALCARAS)|ハイメ?アルカラス / 성우 : 키시오 다이스케 (KISHIO DAISUKE)|岸尾だいすけ, 각본-요시무라 키요코 캐릭터 디자인-토미나가 마리 음악-모리 마모루,-,48,-,-,0,0
2014,2014.10.19 00:30 (일),애니메이션,"드라마, 미스테리",충사 속장 -2014-,감독-나가하마 히로시,http://data5.onnada.com/anime/201409/thumb300x400_2077629166_12d86255_bg.jpg,무릇 먼 존재라 여겨지는 것.@하등하고 기괴하며 흔히 접하는 동식물과는 전혀 다른 것들.@@ 인간의 눈에는 보이지 않는 그 이형의 무리에게 사람들은 예로부터 경외심을 품어왔고언제부턴가 그것들을 통틀어 ‘벌레’라 칭하였다@ 이것은 그 벌레와 인간의 매개체 역할을 하는 한 충사(蟲師)의 이야기…,해외,일본,VPoK-bN-X04,제작사-아트랜드,-,12,-,원작우루시바라 유키, 긴코 (GINKO)|ギンコ / 성우 : 나카노 유토 (NAKANO YUUTO)|中野裕斗, 각본-나가하마 히로시 캐릭터 디자인-우마코시 요시히코 음악-마스다 토시오,-,10(20),-,1o84y-5-cO0,0,0
2014,2014.10.10 22:00 (금),애니메이션,"학원, 드라마, 로맨스",봉쥬르 사랑맛 파티스리,감독-아키타야 노리아키,http://data5.onnada.com/anime/201412/thumb300x400_1988331734_c3bdef6c_1-3.jpg,파티시에가 되고 싶단 꿈을 가진 하루노 사유리는 아오야마에 있는 제과 엘리트 학원 풀릴제과 학원에 입학한다.@동급생인 코즈키 료.@ 일류 기술을 가진 강사 아오이 미츠키.@ 하나부사 길버트.@ 스스미 요시노스케라는매력적이고 개성적인 멤버에게 둘러싸여 꿈을 이루기 위해 노력하는 도중 다양한 일어나기도 하는데.@.@.@.,해외,일본,7iUv0DFMi_w,"제작사-코넥트, 실버 링크",-,전체,-,-, 하루노 사유리 (HARUNO SAYURI)|春野小百合 / 성우 : 이시카와 유이 (ISHIKAWA YUI)|石川由依 코즈키 료 (KOUZUKI RYOU)|皐月遼 / 성우 : 이시카와 카이토 (ISHIKAWA KAITO)|石川界人 (いしかわかいと) 아오이 미츠키 (AOI MITSUKI)|葵井三斗希 / 성우 : 카키하라 테츠야 (KAKIHARA TETSUYA)|?原徹也 (かきはらてつや) 하나부사 길버트 (HANAFUSA GILBAT)|花房 ジルベ?ル / 성우 : 키무라 료헤이 (KIMURA RYOHEI)|木村良平 스즈미 요시노스케 (SUZUMI YOSHINOSUKE)|?芳之助 / 성우 : 미도리카와 히카루 (MIDORIKAWA HIKARU)|?川光 모치즈키 란 (MOCHIZUKI RAN)|望月蘭 / 성우 : 사쿠라 아야네 (SAKURA AYANE)|佐倉綾音 산노미야 츠바키 (SANNOMIYA TSUBAKI)|三ノ宮椿 / 성우 : 에노모토 아츠코 (ENOMOTO ATSUKO)|?本?子 미나가와 나데시코 (MINAGAWA NADESHIKO)|皆川撫子 / 성우 : 사카키바라 요시코 (SAKAKIBARA YOSHIKO)|?原良子 아오이 이부키 (AOI IBUKI)|葵井一吹 / 성우 : 코니시 카츠유키 (KONISHI KATSUYUKI)|小西克幸 아오이 진 (AOI JIN)|葵井仁 / 성우 : 하타노 와타루 (HATANO WATARU)|羽多野? (はたのわたる) 마슈마로(카쿠슈) (MARSHMALLOW (KAKUSHU))|ましゅマロ(各種) / 성우 : 하타 사와코 (SAWAKO HATA)|秦佐和子, 각본-아오키 료 캐릭터 디자인-타키모토 쇼코,-,24,-,k_Rx8GkRks0,0,0
2014,2014.10.09 01:05 (목),애니메이션,"액션, 시대, 전쟁, 마법, 능력, 드래곤",관희 챠이카 AVENGING BATTLE,감독-마치다 토코,http://data5.onnada.com/anime/201406/thumb300x400_2077629048_3e79fce4_1.jpg,줄거리를 등록하여주세요.,해외,일본,coQHwcwW8Ao,제작사-본즈,-,15,-,원작사카키 이치로, 토오루 아큐라 (TOORU ACURA)|ト?ル?アキュラ / 성우 : 마지마 쥰지 (MAJIMA JUNJI)|間島淳司 아카리 아큐라 (AKARI ACURA)|アカリ?アキュラ / 성우 : 하라 유코 (HARA YUKO)|原優子 챠이카 트라반트 (CHAIKA TRABANT)|チャイカ?トラバント / 성우 : 안자이 치카 (ANZAI CHIKA)|安?知佳 프레드리카 (FREDRIKA)|フレドリカ / 성우 : 사이토 치와 (SAITO CHIWA)|?藤千和 (さいとうちわ) 알베릭 지렛트 (ALBERIC GILLETTE)|アルベリック?ジレット / 성우 : 호소야 요시마사 (HOSOYA YOSHIMASA)|細谷佳正 니콜라이 마프트톨 (NIKOLAI AVTOTOR)|ニコライ?アフトトル / 성우 : 사토 켄스케 (SATO KENSUKE)|佐藤健輔 비비 호로파이넨 (VIVI HOLOPAINE)|ヴィヴィ?ホロパイネン / 성우 : 노미즈 이오리 (NOMIZU IORI)|野水伊織 지타 블루자스코 (ZETA BRUSASCO)|ズィ?タ?ブルザスコ / 성우 : 코우다 유메하 (KOUDA YUMEHA)|幸田夢波 마테우스 캬라웨이 (MATEUS CALLAWAY)|マテウス?キャラウェイ / 성우 : 모리시마 슈타 (MORISHIMA SHUUTA)|森嶋秀太 레오나르도 스토라 (LEONARDO STORA)|レオナルド?スト?ラ / 성우 : 야마모토 카즈토미 (YAMAMOTO KAZUTOMI)|山本和臣 기이 (GII)|ギイ / 성우 : 무라세 아유무 (MURASE AYUMU)|村?? (むらせ あゆむ) 크로디아 닷지 (CLAUDIA DODGE)|クロ?ディア?ダッジ / 성우 : 카츠키 마사코 (KATSUKI MASAKO)|勝生?沙子 콘라트 슈타인멘츠 (KONRAD STEINMETZ)|コンラ?ト?シュタインメッツ / 성우 : 카나오 테츠오 (KANAO TETSUO)|金尾哲夫 (かなお てつお), 각본-마치다 토코 캐릭터 디자인-아라이 노부히로 음악-나가오카 세이코우,-,10,-,3sIcEZSOZEg,0,0
2014,2014.10.08 18:00 (수),애니메이션,"SF, 메카닉",건담 빌드 파이터즈 트라이,감독-와타다 신야,http://data5.onnada.com/anime/201407/thumb300x400_991326802_07f74839_1-1.jpg,"이오리 세이, 레이지가 제7회 건프라 배틀 선수권 세계 대회에서 우승한 뒤 7년의 세월이 흘렀다.@건프라 배틀 선수권 대회는 주최가 야지마 상사로 바뀌고.@ 그 시합 형식이나 룰이 바뀌면서, 배틀의 인기는 한층 더 높아지고 있다.@ 하지만 그 흐름에 남겨진 학원이 있었다.@ 일찍이 이오리 세이가 다녔던 세이호 학원이 바로 그곳이다.@학원의 건프라 배틀부의 부원은 부장 호시노 후미나 단 한 명.@이대로는 3인 1조로 싸우는 전일본 건프라 배틀 선수권대회 중고등부에 출전할 수 없다.@그런 후미나 앞에 한 명의 전학생이 나타난다.@ 스승과 함께 수련 여행을 하던 권법 소년, 카미키 세카이.@그리고 젊은 빌더 코우사카 유우마가 합세하여 마침내 3명의 출전 멤버가 모인다.@카미키 세카이, 코우사카 유우마, 호시노 후미나.@ 팀 트라이 파이터즈의 도전이 지금 시작된다.",해외,일본,o15kdiJhqtE,"제작사-선라이즈, Asatsu-DK",-,12,-,"원작토미노 요시유키, 야타테 하지메", 카미키 세카이 (KAMIKI SEKAI)|カミキ·セカイ / 성우 : 토가시 카즈미 (TOGASHI KAZUMI)|??かずみ 코우사카 유우마 (KOUSAKA YUUMA)|コウサカ·ユウマ / 성우 : 우치다 유우마 (UCHIDA YUUMA)|?田雄馬 (うちだ ゆうま) 호시노 후미나 (HOSINO HUMINA)|ホシノ·フミナ / 성우 : 마키노 유이 (MAKINO YUI)|牧野由依 카미키 미라이 (KAMIKI MIRAI)|カミキ·ミライ / 성우 : 엔도 아야 (ENDOU AYA)|遠藤綾 (えんどうあや) 미야가 다이키 (MIYAGA DAIKI)|ミヤガ?ダイキ / 성우 : 유사 코지 (YUSA KOUJI)|遊佐浩二 랄 씨 (RAL SAN)|ラルさん / 성우 : 호우키 카츠히사 (HOUKI KATSUHISA)|??克? 시노다 에리 (SHINODA ERI)|シノダ?エリ / 성우 : 카야노 아이 (KAYANO AI)|茅野愛衣 키자마 시아 (KIJAMA SHIA)|キジマ?シア) / 성우 : 후지타 사키 (FUJITA SAKI)|藤田? (ふじたさき) 시키 토시야 (SHIKI TOSHIYA)|シキ?トシヤ / 성우 : 무라세 아유무 (MURASE AYUMU)|村?? (むらせ あゆむ) 시키 노부야 (SHIKI NOBUYA)|シキ?ノブヤ / 성우 : 스즈키 하루히사 (SUZUKI HARUHISA)|鈴木晴久 시키 카즈야 (SHIKI KAZUYA)|シキ?カズヤ / 성우 : 코사카 토모야 (KOUSAKA TOMOYA)|高坂知也 코데라 마사미 (KODERA MASAMI)|コデラ?マサミ / 성우 : 아마사키 코헤이 (AMASAKI KOUHEI)|天崎滉平 (天?滉平)," 각본-쿠로다 요스케 캐릭터 디자인-쿠로다 요스케, 에비카와 카네타케, 테라시마 신야, 이시가키 쥰야 음악-하야시 유키, 타치바나 아사미",-,25,-,cEN_R1htsQg,0,0
2014,2014.10.06 19:00 (월),애니메이션,"코미디, 멘붕",괴도 조커,감독-테라모토 유키요,http://data5.onnada.com/anime/201409/thumb300x400_2077629166_61ccbc65_201408.png,줄거리를 등록하여주세요.,해외,일본,iUO5fBbD1ZU,"제작사-신에이 동화, Asatsu-DK, 베가 엔터테인먼트",-,전체,-,원작타카하시 히데야스, 죠커 (JOKER)|ジョ?カ? / 성우 : 무라세 아유무 (MURASE AYUMU)|村?? (むらせ あゆむ) 하치 (HACHI)|ハチ / 성우 : 코바야시 유미코 (KOBAYASHI YUMIKO)|小林由美子 스페드 (SPADE)|スペ?ド / 성우 : 시모노 히로 (SHIMONO HIRO)|下野紘 (しものひろ) 다이아몬드 퀸 (DIAMOND QUEEN)|ダイヤモンド?クイ?ン / 성우 : 사와시로 미유키 (SAWASHIRO MIYUKI)|?城みゆき (さわしろみゆき) 실버 하트 (SILVER HEART)|シルバ?ハ?ト / 성우 : 시마다 빈 (SHIMADA BIN)|島田敏 오니야마 도쿠사부로 (ONIYAMA DOKUSABUROU)|鬼山毒三? / 성우 : 타츠타 나오키 (TATSUTA NAOKI)|龍田直樹 미스터 카네아리 (MISTER KANEARI)|ミスタ?金有 / 성우 : 토비타 노부오 (TOBITA NOBUO)|飛田展男 프로페서 크로버 (PROFESSOR CLOVER)|プロフェッサ??クロ?バ? / 성우 : 코스기 쥬로타 (KOSUGI JUUROUTA)|小杉十?太 샤도 죠커 (SHADOW JOKER)|シャドウ?ジョ?カ? / 성우 : 사이토 소마 (SAITO SOMA)|?藤?馬 다크 아이 (DAKU AI)|ダ?ク?アイ / 성우 : 오노 켄이치 (ONO KENICHI)|小野健一 로코 (ROKO)|ロコ / 성우 : 쿠노 미사키 (KUNO MISAKI)|久野美? 쿠로사키 긴코 (KUROSAKI GINKO)|?崎ギンコ / 성우 : 하라 유코 (HARA YUKO)|原優子 시로이 모모 (SHIROI MOMO)|白井モモ / 성우 : 사쿠라이 하루나 (SAKURAI HARUNA)|?井春名 비리지안 (BIRIJIAN)|ビリジアン / 성우 : 이시다 아키라 (ISHIDA AKIRA)|石田彰 DJ 피콕 (DJ PIKOCK)|DJ?ピ?コック / 성우 : 야베 마사히토 (YABE MASAHITO)|矢部雅史 카네코 (KANEKO)|カネ子 / 성우 : 카나다 아키 (KANADA AKI)|金田アキ 레디 다우트 (REDI DAUTO)|レディ??ダウト / 성우 : 제냐 (JENYA)|Jenya (ジェ?ニャ) 만보 (MANBO)|マンボ? / 성우 : 난바 케이이치 (NAMBA KEIICHI)|難波圭一 코우가 햐키마루 (KOUGA HYAKIMARU)|甲賀百鬼丸 / 성우 : 모리쿠보 쇼타로 (MORIKUBO SHOTARO)|森久保祥太?," 각본-사토 다이, 우에노 키미코 캐릭터 디자인-시모가사 미호, 오오타케 마사에, 스에요시 유이치로 음악-츠치야 유우사쿠",-,13,-,bAL2KqnELiM,0,0
2014,2014.10.06 21:55 (월),애니메이션,"학원, 드라마, 코미디",애 천지무용,감독-네기시 히로시,http://data5.onnada.com/anime/201409/thumb300x400_2077629166_87ab3175_2.png,마사키 신사의 후계자인 텐치가 지구에 온 외계인의 소동에 휘말리며 벌어지는 이야기,해외,일본,7WR-glWfr6Y,제작사-AIC Plus+,-,15,-,원작하세가와 나호코, 마사키 텐치 (MASAKI TENCHI)|柾木天地 / 성우 : 키쿠치 마사미 (KIKUCHI MASAMI)|菊池正美 카와나가레 모모 (KAWANAGARE MOMO)|川流もも / 성우 : 토야마 나오 (TOUYAMA NAO)|東山奈央 키노죠 베니 (KINOJYOU BENI)|鬼城紅 / 성우 : 타이치 요우 (TAICHI YOU)|大地葉 하치코 (HACHIKO)|ハチ子 / 성우 : 유우키 카나 (YUUKI KANA)|優木かな 사류 하나 (SARYU HANA)|沙流葉七 / 성우 : 마오 (MAO)|M?A?O (マオ) 후에야마 토우리 (FUEYAMA TOURI)|笛山塔里 / 성우 : 후카다 아이 (FUKADA AI)|深田愛衣 후카 유키 (FUKA YUKI)|布賀油木 / 성우 : 사토 아즈사 (SATO AZUSA)|佐藤あずさ 아오이 루이 (AOI RUI)|藍井? / 성우 : 타나베 루이 (TANABE RUI)|田?留依 쿠리하라 우칸 (KURIHARA UKAN)|栗原有漢 / 성우 : 카와스미 아야코 (KAWASUMI AYAKO)|川澄綾子 (かわすみあやこ) 료코 (RYOKO)|?呼 / 성우 : 오리카사 아이 (ORIKASA AI)|折笠愛 아에카 (AEKA)|阿重霞 / 성우 : 나나오 하루히 (NANAO HARUHI)|七?はるひ 사사미 (SASAMI)|砂沙美 / 성우 : 요코야마 치사 (YOKOYAMA CHISA)|?山智佐 와슈 (WASYU)|鷲羽 / 성우 : 코바야시 유코 (YUUKO KOBAYASHI)|小林優子 미호시 (MIHOSHI)|美星 / 성우 : 미즈타니 유코 (MIZUTANI YUUKO)|水谷優子 GP 본부장 (GP HONBUCHOU)|GP本部長 / 성우 : 키타무라 켄지 (KITAMURA KENJI)|北村謙次 노 집사 (ROU SHITSUJI)|老執事 / 성우 : 키타무라 켄지 (KITAMURA KENJI)|北村謙次," 각본-네기시 히로시, 요시하라 쥰페이 캐릭터 디자인-야스다 스즈히토 음악-히라노 요시히사",-,60,-,aDQCgCzc3eY,0,0
2014,2014.10.06 23:54 (월),애니메이션,"드라마, 코미디",우리집의 욕조 사정,감독-아오이 사요,http://data5.onnada.com/anime/201409/thumb300x400_2077629166_05564ff9_1.jpg,혼자서 살고 있던 남자 고교생 주인공.@ 어느날 쓰러져 있는 꽃미남 청년을 구해주는데 알고 보니 그 미청년이 '인어'였다.@그 꽃미남 인어는 남주인공의 집에 있는 욕조를 마음에 들어하면서 아예 그대로 눌러 살게 되는데.@.@.@ ,해외,일본,UwNPQwkSSvY,제작사-아사히 프로덕션,-,15,-,-, 타츠미 (TATSUMI)|龍己 / 성우 : 시마자키 노부나가 (SHIMAZAKI NOBUNAGA)|島崎信長 와카사 (WAKASA)|若? / 성우 : 우메하라 유이치로 (UMEHARA YUICHIRO)|梅原裕一? 타카스 (TAKASU)|鷹? / 성우 : 스즈키 타츠히사 (SUZUKI TATSUHISA)|鈴木達央 미쿠니 (MIKUNI)|三? / 성우 : 하나에 나츠키 (HANAE NATSUKI)|花江夏樹 (はなえなつき) 마키 (MAKI)|?木 / 성우 : 츠다 켄지로 (TSUDA KENJIRO)|津田健次? 카스미 (KASUMI)|霞 / 성우 : 키도 이부키 (KIDO IBUKI)|木?衣吹 병아리 짱 (AHIRU-CHAN)|アヒルちゃん / 성우 : 카와하라 요시히사 (KAWAHARA YOSHIHISA)|川原慶久, 각본-아야나 유니코 캐릭터 디자인-하네다 코지,-,13,-,-,0,0
2014,2014.10.03 01:49 (금),애니메이션,"전쟁, SF, 메카닉",건담 G의 레콘기스타,감독-토미노 요시유키,http://data5.onnada.com/anime/201502/thumb300x400_991326802_3bbba060_1-3.jpg,줄거리를 등록하여주세요.,해외,일본,wnbFlzvABlM,제작사-선라이즈,-,12,-,원작토미노 요시유키, 베르리 제남 (BELLRI ZENAM)|ベルリ?ゼナム / 성우 : 이시이 마크 (ISHII MARK)|石井マ?ク 아이다 스르간 (AIDA SURUGAN)|アイ?ダ?スルガン / 성우 : 시마무라 유우 (SHIMAMURA YUU)|嶋村侑 노레드 나그 (NOREDO NAG)|ノレド?ナグ / 성우 : 코토부키 미나코 (KOTOBUKI MINAKO)|?美菜子 (ことぶきみなこ) 크림 닉 (KLIM NICK)|クリム?ニック / 성우 : 오오사카 료타 (OOSAKA RYOUTA)|逢坂良太 루인 리 (LUIN LEE)|ルイン?リ? / 성우 : 사토 타쿠야 (SATOU TAKUYA)|佐藤拓也 마니 안바세다 (MANNY AMBASSADA)|マニィ?アンバサダ / 성우 : 타카가키 아야히 (TAKAGAKI AYAHI)|高垣彩陽 (たかがきあやひ) 라라이야 만디 (RARAIYA MONDAY)|ラライヤ?マンディ / 성우 : 후쿠이 유카리 (FUKUI YUKARI)|福井裕佳梨 (ふくいゆかり) 노벨 (NOBELL)|ノベル / 성우 : 타카가키 아야히 (TAKAGAKI AYAHI)|高垣彩陽 (たかがきあやひ) 카힐 세인트 (CAHILL SAINT)|カ?ヒル?セイント / 성우 : 모리카와 토시유키 (MORIKAWA TOSHIYUKI)|森川智之 데렌센 사마타 (DELLENSEN SAMATAR)|デレンセン?サマタ? / 성우 : 코야마 츠요시 (KOYAMA TSUYOSHI)|小山剛志 케르베스 요 (KERBES YOH)|ケルベス?ヨ? / 성우 : 스다 유스케 (SUDA YUUSUKE)|須田祐介 쟝 변 하잠 (JYAN BYON HAJAMU)|ジャン?ビョン?ハザム / 성우 : 야마모토 이타루 (YAMAMOTO ITARU)|山本格, 각본-토미노 요시유키 캐릭터 디자인-요시다 켄이치 음악-칸노 유고,-,26,-,rOr4KN-2U2Y,0,0
2014,2014.09.28 07:00 (일),애니메이션,음악,트라이브 쿨 크루,감독-후지모리 마사야,http://data5.onnada.com/anime/201501/thumb300x400_1988331734_3e9e6344_1-2.jpg,-,해외,일본,C1WKKGSzUSY,"제작사-Nagoya TV Housou, 선라이즈",-,전체,-,원작야타테 하지메, 토비타츠 하네루 (TOBITATSU HANERU)|飛?ハネル / 성우 : 이시가미 시즈카 (ISHIGAMI SHIZUKA)|石上?香 오토사키 카논 (OTOSAKI KANON)|音?カノン / 성우 : 야마오카 유리 (YAMAOKA YURI)|山岡ゆり 사카가미 쿠모노스케 (SAKAGAMI KUMONOSUKE)|坂上雲之介 / 성우 : 사쿠라이 토오루 (SAKURAI TOHRU)|櫻井トオル 마시로 미즈키 (MASHIRO MIZUKI)|?城ミズキ / 성우 : 하라 유코 (HARA YUKO)|原優子 텐포인 유즈루 (TENPOUIN YUZURU)|天?院ユヅル / 성우 : 사이토 소마 (SAITO SOMA)|?藤?馬 마스터 T (MASTER T)|マスタ?T / 성우 : 테즈카 히로미치 (TEZUKA HIROMICHI)|手塚ヒロミチ 재이 엘 (JAY EL)|ジェイ?エル / 성우 : 카츠 안리 (KATSU ANRI)|勝杏里 시시도 유지 (SHISHIDOU YUUJI)|獅子堂ユ?ジ / 성우 : 안자이 치카 (ANZAI CHIKA)|安?知佳 노구치 소타 (NOGUCHI SOUTA)|野口 ソ?タ / 성우 : 니이츠 나나 (NIITSU NANA)|新津奈? 사코타 리키 (SAKOTA RIKI)|迫田リキ / 성우 : 아오야마 코헤이 (AOYAMA KOUHEI)|?山耕平 오토사키 키미카 (OTOSAKI KIMIKA)|音?キミカ / 성우 : 나나미 카린 (NANAMI KARIN)|奈波果林 코우지 (KOUJI)|コウジ / 성우 : 나가사키 히토미 (NAGASAKI HITOMI)|長崎瞳, 각본-토미오카 아츠히로 캐릭터 디자인-야나기다 요시아키,-,50,-,QYsvsn6jiFI,0,0
