year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,series,trilogy,soundtrack,ref_video,read_count,scrape_count
2009,2009.10.16,애니메이션,"액션, SF",키디 걸랜드,감독-고토 케이지,http://data5.onnada.com/anime/201310/thumb300x400_32642209_533769a4_1.jpg,"은하계정부의 공식적 경제기관인 GTO(Galacitic Trade Organization)을 배경으로 하는 SF애니메이션.@ 전작의 주인공인 에크렐과 류미엘이 1화에서 자폭하는 모습을 보여주었지만 초반 분위기는 가벼운 코미디물이다.@ 세기력 0379년··· 지금부터 500년 미래의 은하계.@ GTO로 불리는 은하계 정부의 소속으로 관공서에 일하는 2명의 소녀.@  밝고 건강한 아스쿨과 조금 성실한 쿠피유.@ 실은, 2명은 GTO가 자랑하는 특수 능력을 숨긴 비밀의 에이전트 ES멤버의 견습생이였다.",해외,일본,5pMPaJAfehQ,제작사-Satelight,-,12,-,원작gimik, 아스쿨 (ASCOEUR)|アスク?ル / 성우 : 우치다 아야 (UCHIDA AYA)|?田彩,,,,,,,
2009,2009.10.13,애니메이션,유령,괴담 레스토랑,감독-이케다 요코,http://data5.onnada.com/anime/201108/thumb300x400_A2080_2042247640_943bad1d_kaidan_restaurant.jpg,"개발과 비개발 지역이 섞여, 낡은 단지와 새로운 빌딩들이 혼재하는 마을.@ 그곳의 작은 초등학교에 다니는 보리의 반에 한 미소년이 전학 온다.@ 그의 이름은 세형.@ 귀국자녀인 그는 전세계의 무서운 이야기를 수집한다.@ 학교나 낡은 서양식 건물, 숲 속등 보리와 친구들 주변에서도 여러 가지 기묘한 현상이 일어난다.@세형이가 빨리 가보고 싶다고 하는 곳은 다름아닌 마을 변두리에 있는 폐허.@ 통칭 ‘괴담 레스토랑’ 이다.@ 과연 어떤 메뉴가 나올 것인가.@.@ 마법도 괴물도 나오지 않지만, 단지 주변에서 있을법한 그런 무서운 이야기들이 펼쳐진다.",해외,일본,veyb9a4cE6A,"제작사-토에이 애니메이션, TV 아사히",-,12,-,원작마츠타니 미요코, 가르송 (GARUSONG)|ギャルソン / 성우 : 히라타 히로아키 (HIRATA HIROAKI)|平田?明, 각본-요네무라 쇼지 캐릭터 디자인-타카하시 아키라 음악-타카키 히로시,-,62,-,BL8q2K15DCk,0,0
2009,2009.10.12 18:30 (목),애니메이션,코미디,타마고치-,감독-시무라 죠지,http://data5.onnada.com/anime/201504/thumb300x400_1988331734_818200e5_1-6.gif,90년대 선풍적인 인기를 끌었던 동명게임을 바탕으로 한 애니메이션.,해외,일본,o1idq8PKOWI,"제작사-TV 도쿄, OLM",-,전체,-,"원작반다이, 위즈", 마멧치 (MAMECCHI)|まめっち / 성우 : 쿠기미야 리에 (KUGIMIYA RIE)|釘宮理? (くぎみやりえ)," 각본-마츠이 아야, 요코테 미치코, 야마구치 히로시, 후데야스 카즈유키 캐릭터 디자인-이치이시 사유리, 쇼지 야스카즈",-,143,-,w2-AKWQsRIA,0,0
2009,2009.10.12 10:30 (토),애니메이션,"판타지, 모험, 액션, 배틀, 드래곤, 코미디",페어리 테일,감독-이시히라 신지,http://data5.onnada.com/anime/201909/thumb300x400_2070905244_f472c387_mthumb.jpg,"온 세상에 수없이 존재하는 마도사 길드.@마도사 길드란, 불가사의한 힘인 마법을 자유자재로 다루며 다른 이들을 도우는 자들인@'마도사'(魔度師)들이 모여 활동하는 일종의 모임 조직을 뜻한다.@훌륭한 마도사를 목표로 하는 소녀 루시는 엉뚱한 일로부터 불을 먹고 불을 토해, 불을 휘감아 싸우는@드래곤 슬레이어 나츠와 만나, 나츠가 소속하는 길드〈페어리테일〉에 가입한다.@그러나 거기는, 루시의 상상을 넘은 독특한 마도사들이 모인 길드였다.@문제아 투성이의〈페어리 테일〉이지만, 나츠와 루시는 순조롭게 의뢰를 구사해 가, 점차 마도사로서도 성장해 간다.",해외,일본,-,"제작사-Satelight, A-1 Pictures",-,12,-,원작마시마 히로, 나츠 드라그닐 (NATSU DRAGNEEL)|ナツ / 성우 : 카키하라 테츠야 (KAKIHARA TETSUYA)|?原徹也 (かきはらてつや),-,-,-,-,-,0,0
2009,2009.10.09,애니메이션,"액션, 능력, 범죄",Darker than BLACK -유성의 제미니-,감독-오카무라 텐사이,http://data5.onnada.com/anime/201102/thumb300x400_2048931622_f66a3058_untitled.jpg,"갑자기 도쿄에 출현한 수수께끼의 불가침 영역 '헬즈 게이트'.@ 그것과 함께 온 세상에서 발견된 '계약자'라고 불리는 특수 능력자들.@ 또 '계약자'를 이용해 게이트의 비밀을 얻으려고 하는 각국의 첩보 기관이 도쿄에 보낸 에이전트.@ 그리고 그 싸움의 끝에 일어난 미지의 재앙 '도쿄 익스플로전'.@ 그리고 2년 후, 겨울의 러시아를 무대로 새로운 이야기가 시작된다.",해외,일본,Wh0ie00YKH4,제작사-본즈,-,15,-,"원작오카무라 텐사이, 본즈", 헤이 (HEI) / 성우 : 키우치 히데노부 (KIUCHI HIDENOBU)|木?秀信, 캐릭터 디자인-코모리 타카히로 음악-이시이 야스시,-,12,-,S-PjhOWhx3Q,0,0
2009,2009.10.08,애니메이션,"드라마, 로맨스, 코미디, 학원",속삭임,감독-스가누마 에이지,http://data5.onnada.com/anime/201009/thumb300x400_2038530305_4317d440_0.jpg,"백합을 소재로 한 작품으로 여고생들의 이야기를 다루고 있다.@ 전 시즌의 《푸른 꽃》과 여러 측면에서 비교되고 있는데, 푸른 꽃에 비하면 좀 더 가볍고, 코믹한 부분이 강조되어 있다.@ 애니판은 그야말로 포풍같은 패러디를 보여준다.@ 내 턴이라거나, 이렇게 귀여운 아이가 여자일리 없잖아, 제트 스트림 어택에, 가슴 따위는 장식입니다! 높으신 분들은 그걸 모른다니까요!까지 그야말로 패러디의 폭풍.",해외,일본,9JKjPvC3S3I,제작사-AIC,-,15,-,원작이케다 타카시, 무라사메 스미카 (MURASAME SUMIKA) / 성우 : 타카가키 아야히 (TAKAGAKI AYAHI)|高垣彩陽 (たかがきあやひ), 캐릭터 디자인-이노마타 마사미 음악-하스미 시게오미,-,13,-,9JKjPvC3S3I,0,0
2009,2009.10.07,애니메이션,"학원, 미스테리, 능력, 퇴마, 뱀파이어",뱀파이어 기사 Guilty,감독-사야마 키요코,http://data5.onnada.com/anime/201310/thumb300x400_32642209_cb732a10_1.jpg,"전원 기숙사제 명문 학교 사립 크로스 학원.@ 이곳에는 일반 학생들이 다니는 데이 클래스(보통과)와 엘리트 학생들이 모인 나이트클래스(야간부)라는 두개의 반이 존재하고 있었다.@ 주인공 소녀 유우키는 데이클래스의 1학년 학생으로, 어릴적부터 친하게 지내온 친구 제로와 함께 교내의 분위를 바로 잡고 나이트클래스의 비밀을 수호하는 가디언으로 활약하고 있다.@ 나이트클래스의 비밀이란 사실 그들이 전부 인간이 아닌 존재, 즉 '뱀파이어'라는 것이었다.@ 인간과 뱀파이어간의 오랜 전쟁을 종식시키고 공존을 모색하기 위해서 만들어진 나이트 클래스.@ 10년전 뱀파이어의 습격을 받았을 당시 쿠란 카나메의 도움을 받았던 적이 있는 유우키는 뱀파이어와 인간이 공존할 수 있을 거라 믿으며 가디언 활동에 여념이 없다.@ 그런 유우키의 곁에는 뱀파이어를 적대시하는 친구 제로와, 유우키의 경의 대상인 카나메 이외에도 다양한 개성을 지닌 나이트클래스의 뱀파이어들이 있어, 유우키의 일상은 하루도 조용한 날이 없다.@ 하지만 가까스로 지켜지고 있던 학원의 평화를 깨뜨리려는 불온한 세력의 그림자가 슬슬 나타나기 시작하는데.@.@.",해외,일본,nUTYpV-HDZw,제작사-스튜디오 딘,-,12,-,원작히노 마츠리, 쿠로스 유우키 (CROSS YUKI)|?主 優? / 성우 : 호리에 유이 (HORIE YUI)|堀江由衣 (ほりえゆい), 각본-오카다 마리 캐릭터 디자인-니시다 아사코 음악-하케타 타케후미,-,13,-,1OLs8BUHMGk,0,0
2009,2009.10.07,애니메이션,"로맨스, 코미디, 학원",너에게 닿기를,감독-카부라키 히로,http://data5.onnada.com/anime/201009/thumb300x400_2038530305_27e94fe9_0.jpg,"어둠침침한 용모로 인해 '사다코'(영화 링에 등장했던 귀신의 이름)라는 별명으로 불리며 반 아이들에게 기피대상 1호 취급을 받고 있는 소녀 쿠로누마 사와코.@ 영감이 있다는 둥의 소문까지 더해져 주위 사람들에게 불필요한 두려움을 사고 있지만, 실은 밝고 순수한 성격을 가진 그저 평범한 여자아이일 뿐이다.@ 초등학교 시절부터 이어진 따돌림으로 인해 이미 그런 취급을 당하는 것에 익숙해져 버렸지만, 그런 자신에게도 스스럼없이 대해 주는 같은 반의 인기인 카제하야 쇼타는 어느센가 사와코의 동경의 대상으로 자리잡았다.@ 우연한 계기로 사와코의 본모습을 보게 되었던 쇼타 역시 사와코를 돕고 싶어하고, 그렇게 쇼타를 비롯한 친구들의 도움을 받아 사와코는 조금씩이나마 자신을 둘러싼 편견의 껍데기를 탈피해 나가고자 노력하는데.@.@.",해외,일본,ZNu10SawQgc,제작사-프로덕션 I.G,-,12,-,원작시이나 카루호, 쿠로누마 사와코 (KURONUMA SAWAKO) / 성우 : 노토 마미코 (NOTO MAMIKO)|能登麻美子 (のと まみこ),-,-,-,-,-,0,0
2009,2009.10.07 01:00 (수),애니메이션,"학원, 하렘, 판타지, 미스테리, 액션, 배틀",11eyes,감독-시모다 마사미,http://data5.onnada.com/anime/202006/thumb300x400_2070905244_87b33bba_232773.jpg,사츠키 카게루와 미나세 유카로는 여느 때와 마찬가지로 평화로운 날들을 보내고 있었다.@그러던 어느 날 그들은 '붉은 밤'이라는 이상한 현상에 휘말리게 되었다.@붉은 밤 현상에서는 괴물들이 출연하여 카게루와 유키를 습격하게 된다.@그런 현상에서 구해주는 사람은 학교 선배쿠사카베 미스즈였다.@그녀는 붉은 밤 현상에서 계속 혼자 싸워왔으며 카게루와 유키에게 붉은 밤 현상에 대해 설명해준다.@그 외에도 3명의 사람이 이런 현상을 겪고 있으며@이 6명의 붉은 밤을 경험하는 이들에게는 특별한 능력이 있다고 하는데….,해외,일본,Ho7h3WEJkKs,제작사-동화 공방,-,15,-,원작Lass, 사츠키 카케루 (Kakeru Satsuki) / 성우 : 오노 다이스케 (ONO DAISUKE)|小野大輔 (おのだいすけ), 각본-카네마키 켄이치 캐릭터 디자인-하라 마사하루 음악-5pb,-,12,-,-,0,0
2009,2009.10.06,애니메이션,드라마,코바토,감독-마스하라 미츠유키,http://data5.onnada.com/anime/201101/thumb300x400_2048931593_da2336e6_25C125A625B825F1_25BE25F825C025BD.jpg,"상처받은 사람들의 마음을 치유하기 위해 인간세계로 내려온 코바토.@ 코바토에게는 이루어야할 소망이있는데 그것은 자신이 가고싶은 곳으로 가는것이다.@ 일명, 별사탕이라고.@.@.@사람들의 마음을 치유해주면 별사탕이 하나씩 쌓이게 되는게 그게 다 쌓이게 되면 소망을 이룰수있다.@ 그치만 별사탕을 다 모으지 못하면 불안정한 상태의 코바토는 사라지고만다.@ 정말 천연 순진무구한 코바토는 자신의 위험보다 남을 더생각할줄 아는 캐릭터로 등장하고, 사람들에게 따뜻한 마음을 느끼게 해주는 캐릭터이다.",해외,일본,_fD6NEi_Czo,제작사-매드하우스,-,12,-,-, 하나토 코바토 (Kobato Hanato) / 성우 : 하나자와 카나 (HANAZAWA KANA)|花澤香菜 (はなざわかな)," 각본-요코테 미치코, 오오카와 나나세 캐릭터 디자인-카토 히로미 음악-하마 타케시",-,24,-,Sw_adAyjkqY,0,0
