year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,series,trilogy,soundtrack,ref_video,read_count,scrape_count
2018,2018.12.08,애니메이션,"메카닉, 모험, 액션, SF",트랜스포머 레스큐 봇 아카데미,-,http://data5.onnada.com/anime/201911/thumb300x400_3696359636_a05403fc_Poster.jpg,2018년에 방송된 새로운 트랜스포머 레스큐 봇 시리즈로 새로운 레스큐 봇 핫샷과 그의 팀원들의 여러 레스큐 활동을 담은 이야기이다.@현재 시즌1은 끝났고 시즌2는 2020년에 방송 예정이다.,해외,일본,-,-,-,전체,-,-, 핫샷 (HOT SHOT)|ホットショット,-,-,104,-,aSjA6Vq4Na4,0,0
2018,2018.10.26,애니메이션,"판타지, 액션, 공포",캐슬배니아 시즌 2,-,http://data5.onnada.com/anime/202005/thumb300x400_2042572101_075ec4d4_7d5ce4.png,"드라큘라는 강대한 마법과 과학 지식을 지닌 인물로, 거대한 성에서 홀로 냉담하게 살아간다. 그러던 어느 날 리사라는 인간 여인이 드라큘라의 지식을 배우기 위해 성에 찾아온다. 사람들을 돕고 싶다는 순수한 마음의 리사를 보고 드라큘라는 흥미를 느끼며 그녀를 받아들이고, 결국 그들은 혼인하기에 이른다. 리사는 인류에 냉소적인 태도를 취하는 드라큘라에게 여행을 다니며 사람들의 모습을 보고 느끼라고 조언하고, 그는 그 말에 따라 여정에 오른다. 하지만 그 사이에 리사는 사람들을 위해 지식을 쓰다가 마녀로 몰려 화형에 처해지고, 돌아와서 그 사실을 알고 충격을 받은 드라큘라는 인류에게 전쟁을 선포하며 1년의 유예기간을 준다. 드라큘라와 리사 사이에서 태어난 아들 알루카드는 인류를 미워하지 말라는 어머니의 뜻에 따라 드라큘라를 막으려고 하지만, 드라큘라는 아들에게 큰 상처를 입히고 만다. 알루카드는 물러나서 모습을 감춘다. 드라큘라가 인간들에게 남긴 경고는 무시되고, 오히려 1년 후 그 날에 대주교가 화려한 식을 거행한다. 드라큘라는 극도로 분노해 마법으로 도시를 불태우고, 악마들이 거리를 파괴하기 시작하며 드라큘라의 힘이 온 지역에 점차 퍼져나간다.",해외,일본,Kbb8zPQBmOw,-,-,19,-,-, 트레버 벨몬트 (TREVOR BELMONT)|トレバ?·ベルモンド / 성우 : 오키아유 료타로 (OKIAYU RYOTARO),-,-,8,-,yy_FWdbnvM0,0,0
2018,2018.10.25 22:00 (목),애니메이션,"모험, 액션, 코미디, 판타지",반역성 밀리언아서,감독-사토 미츠토시,http://data5.onnada.com/anime/201808/thumb300x400_1988331734_48d354b0_1-2.jpg,사방이 바다로 둘러싸인 섬나라 브리튼에는 그 땅을 통치할 왕을 선정하며@그에게 강대한 힘을 부여한다는 성검 엑스칼리버가 존재했지만.@시공의 뒤틀림에 의해 역사가 일그러져 백만 자루의 엑스칼리버가@각기 다른 시대의 전설들과 함께 범람하는 상황에 처하게 되고.@이에 역사를 바로 잡으려는 여섯 명의 에이전트 아서가@짝을 이룬 서포트 요정과 함께 엑스칼리버 파괴 작전에 돌입한다.,해외,일본,NiJieCHJUBY,J.C.Staff,-,15,-,스퀘어 에닉스, 단장 아서 (DANCHOU ASA)|?長ア?サ? / 성우 : 아마미야 소라 (AMAMIYA SORA)|雨宮天 (あまみやそら) 철권 아서 (TEKKEN ASA)|?拳ア?サ? / 성우 : 카키하라 테츠야 (KAKIHARA TETSUYA)," 각본-타마이 츠요시 캐릭터 디자인-사이토 요시나리 음악-시이나 고, 란티스",-,10,-,NiJieCHJUBY,0,0
2018,2018.10.22 00:10 (월),애니메이션,"드라마, 학원, 부활동, 스포츠",츠루네 -카제마이 고교 궁도부,감독-야마무라 타쿠야,http://data5.onnada.com/anime/201809/thumb300x400_1988331734_70568135_1-2.jpg,궁도부에 소속되었던 중학생 소년 나루미야 미나토.@어머니의 죽음 등으로 인해 자신의 생각보다 빨리 화살을 놓아버리는 증상를 앓게 되고.@그 탓에 현 대회 결승에서 팀을 지게 만들고 만다.@결국 그는 궁도부를 그만두고 진학 예정이 아니던 고교에 도망치듯 입학하지만.@우연히 알게 된 숲속 궁도장에서 타키가와 마사키라는 실력자와 만난 걸 계기로 다시 궁도와 마주할 결심을 하는데...,해외,일본,Dwv4MiB08TY,쿄토 애니메이션,-,15,-,아야노 코토코, 나루미야 미나토 (NARUMIYAMINATO)|鳴宮湊 / 성우 : 우에무라 유토 (UEMURA YUUTO)|上村祐翔 타케하야 세이야 (TAKEHAYA SEIYA)|竹早?? / 성우 : 이치카와 아오이 (ICHIKAWA AOI)," 각본-요코테 미치코, 요시노 히로유키 캐릭터 디자인-카도와키 미쿠 음악-후우키 하루미, 란티스",-,13,-,-,0,0
2018,2018.10.13 00:00 (토),애니메이션,기타,섬란 카구라 SHINOVI MASTER -도쿄 요마편,감독-야나기사와 테츠야,http://data5.onnada.com/anime/201810/thumb300x400_237746802_b51e2069_1-1.jpg,-,해외,일본,5H94E7po2ac,TNK,-,15,-,타카키 켄이치로, 유미 (YUMI)|雪泉 / 성우 : 하라 유미 (HARA YUMI)|原由? 무라쿠모 (MURAKUMO)|叢 / 성우 : 카네모토 히사코 (KANEMOTO HISAKO)|金元?子 요자쿠라 (YOZAKURA)|夜? / 성우 : 이시하라 카오리 (ISHIHARA KAORI)," 각본-키타지마 유키노리 캐릭터 디자인-고토우 쥰지 음악-노이지 클록, 란티스",-,12,-,-,0,0
2018,2018.10.11 22:30 (목),애니메이션,"판타지, 모험, 액션",메르크 스토리아 -무기력한 소년과 병 속의 소녀-,감독-오이자키 후미토시,http://data5.onnada.com/anime/201809/thumb300x400_237746802_a620e186_1-2.jpg,"몬스터의 마음을 치유하는 힘을 가진 유술사 소년 유우.@유우는 어릴 적 아버지에게 신기한 병을 선물로 받았고, 그 병을 만지자 병 속에서 액체로 된 몸을 가진 소녀인 메르크가 나타났다.@유우와 만나기 전의 기억이 없는 메르크는 자신이 무엇인지조차도 모른다고 말했고, 두 사람은 여러 나라를 도는 여행을 떠나게 된다.",해외,일본,xp0mRKBT_Pg,엔카렛지 필림즈,-,15,-,-, 유 (YUU)|ユウ / 성우 : 타무라 무츠미 (TAMURA MUTSUMI)|田村睦心 메르크 (MERC)|メルク / 성우 : 미나세 이노리 (MINASE INORI)," 각본-아마미야 히토미, 오이자키 후미토시, 우치다 히로키 캐릭터 디자인-아키야마 유키코",-,12,-,xG9J6GOeCNU,0,0
2018,2018.10.11 02:50 (목),애니메이션,"일상, 판타지, 로맨스, 코미디, 치유물",벨제붑 아가씨의 뜻대로,감독-카즈토 미나토,http://data5.onnada.com/anime/201808/thumb300x400_1988331734_b2ed2199_1-3.jpg,"천계로부터 떨어져 마계에서 살게 된 타천사들이 일하는 궁전 판데모니움.@새롭게 이곳의 일원이 된 신입 뮤린은 부재중인 사탄을 대신하여@마계를 이끌고 있는 대악마 벨제부브(벨제붑)을 모실 수 있게 되었다며 감격하고 있었지만@벨제부브(벨제붑)은 그의 기대와 달리 마이페이스한 성격의 가녀린 소녀였고,@그런 그녀에게 번뇌하며 휘둘려가는 츤데레 뮤린의 일상이 시작된다.",해외,일본,gcvIUMOZUkY,라이덴 필름,-,15,-,Matoba, 벨제부브 (BEELZEBUB)|ベルゼブブ / 성우 : 오오니시 사오리 (OONISI SAORI)|大西沙織 뮤린 (MYURIN)|ミュリン / 성우 : 야스다 리쿠야 (YASUDA RIKUYA)," 각본-토미타 요리코 캐릭터 디자인-스미모토 에츠코 음악-치바 나오키, 와카시마 카논",-,12,-,-,0,0
2018,2018.10.10 01:30 (수),애니메이션,"학원, 하렘, 판타지, 이세계",컨셉션,감독-모토나가 케이타로,http://data5.onnada.com/anime/201809/thumb300x400_237746802_6d0992db_1-1.jpg,"어려서 부모를 여읜 유게 이츠키.@동급생인 사촌 코나즈키 마히로의 집에서 살며 학창시절을 보내던 어느날,@마히로의 부름으로 옥상으로 올라간 그에게 기다리고 있었던 것은 예상치 못한 충격적인 고백이었다.@"나 임신한 것 같아…""@그 순간 돌연히 나타난 빛의 게이트에 빨려들어간 두 사람.@정신이 드니 그곳은 그랑바니아라고 하는 이세계였다."",해외,일본,g4sOV8jAij4,Gonzo,-,15,-,스파이크 춘소프트, 유게 이츠키 (YUGE ITSUKI)|弓削イツキ / 성우 : 오노 유우키 (ONO YUUKI)|小野友樹, 각본-카키하라 유코 캐릭터 디자인-오쿠다 요스케 음악-코우다 마사토,-,12,-,e6y22UeQN-w,0,0
2018,2018.10.10 22:00 (수),애니메이션,"로맨스, 코미디",내가 좋아하는 건 여동생이지만 여동생이 아니야,감독-후루카와 히로유키,http://data5.onnada.com/anime/201807/thumb300x400_1988331734_e4447554_1-1.jpg,라노벨 작가가 되기를 꿈꾸던 평범한 고교생 소년 유우.@매번 신인 작가 공모전 1차 심사에서 낙선을 거듭하고 있었는데.@어느 날 밤 모든 면에 있어서 완벽하기로 소문난 여동생 스즈카로부터@그녀가 재미삼아 한 번 써본 라노벨이 신인 대상을 수상하게 되었다는 이야기와 함께.@엄격한 아버지가 허락해주시지 않을 게 뻔하다며 자신을 대신하여 프로 작가 데뷔를 해달라는 부탁을 받는다.,해외,일본,Yic4dPvO5Zg,"Magia Doraglier, NAZ",-,15,-,에비스 세이지, 나가미 유우 (NAGAMI YUU)|永見祐 / 성우 : 하타나카 타스쿠 (HATANAKA TASUKU)|?中祐 (?中佑) 나가미 스즈카 (NAGAMI SUZUKA)|永見?花 / 성우 : 콘도 레이나 (KONDOU REINA)," 각본-모모세 유이치로 캐릭터 디자인-후루카와 히로유키 음악-야시킨, 메이지",-,10,-,-,0,0
2018,2018.10.09 23:00 (화),애니메이션,"요괴, 전쟁",도쿄 구울-re -2018-,감독-오타나베 오다히로,http://data5.onnada.com/anime/201810/thumb300x400_237746802_70840d57_1-3.jpg,-,해외,일본,2_SXvMSGJrs,스튜디오 피에로,-,15,-,이시다 스이, 사사키 하이세 (SASAKI HAISE)|佐?木?世 / 성우 : 하나에 나츠키 (HANAE NATSUKI)|花江夏樹 (はなえなつき) 우리에 쿠키 (URIE KUKI)|瓜江久生 / 성우 : 이시카와 카이토 (ISHIKAWA KAITO), 각본-미카사노 츄지 캐릭터 디자인-나카지마 아츠코 음악-야마다 유타카,-,12(24),-,a4RRHEeunjg,0,0
