year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,awards,series,soundtrack,amount,ref_video
2019,2019 .05.29 개봉,영화,공포,0.0MHz,유선동,https://movie-phinf.pstatic.net/20190517_285/15580610094800liOI_JPEG/movie_image.jpg,"에디슨의 마지막 발명품, 유령 탐지기?@ “증명할 수 없는 미스터리란 없다”@ 가지 말라는 곳에 가야 하는 이유가 있다@ @ 세상에 일어나는 초자연 미스터리를 분석하는 동아리 0.0MHz 멤버들이 귀신을 부르는 주파수를 증명하기 위해 우하리의 한 흉가를 찾은 후 기이한 현상이 멈추지 않는데…",국내,한국,oZtdFoLSeuA,"(주)제이엠컬쳐스 , (주)몬스터팩토리",(주)스마일이엔티,15세 관람가,102분,-,강태웅 남정희 박명신 정원창 신주환 최윤영 이성열 정은지 ,  유선동 (각본) 장작 (원작자) 이정현 (투자총괄) 김주형 (투자총괄) 오제헌 (프로듀서) 이승룡 (제작실장) 김하니 (제작부) 임민재 (제작부) 남관효 (제작부) 서주리 (제작부) 김지한 (제작) 이상찬 (제작) 이영민 (제작) 박윤호 (제작) 김우영 (제작지원) 김근영 (제작지원) 신지혜 (제작회계) 윤선영 (제작투자) 여한구 (제작투자) 박오순 (투자책임) 곽정환 (투자책임) 박선영 (공동제작) 김종필 (공동투자) 조재병 (촬영부) 송민호 (촬영부) 박정호 (촬영부) 박영서 (촬영부) 차택균 (촬영) 박지성 (조명) 김상현 (조명부) 김종은 (조명부) 류근형 (조명부) 김선진 (조명부) 김세라 (조명부) 이재현 LEE Jae Hyun (조명부) 표유신 (조명부) 나성식 (그립) 최용재 (키그립) 김정현 (연출부) 김기웅 (연출부) 오세규 (연출부) 오경은 (연출부) 이예나 (스크립터) 한주아 (스크립터) 박대희 (조감독) 김성훈 (동시녹음) 이호준 (음향편집) 이지혜 (음향편집) 정지수 (음향효과) 김연지 (음향효과) 김이준 (붐오퍼레이터) 이인규 (믹싱) 이호준 (믹싱) 이인규 (사운드) 성윤용 (사운드) 김우근 (음악) 김우근 (음악지원) 김현우 (음악지원) KHUN (음악지원) 김우근 (작곡) 이시훈 (미술) 김시아 (미술팀) 김진아 (미술팀) 김민수 (세트) 김형수 (세트팀) 김태선 (세트팀) 김은솔 (미술팀장) 이주환 (특수분장) 이상민 (특수효과) 박상균 (특수효과팀) 이대순 (특수효과팀) 김준 (특수효과팀) 김락현 (시각효과) 민지애 (시각효과) 오성준 (시각효과) 김예은 (시각효과) 석현우 (시각효과) 정철용 (시각효과) 김경수 (시각효과) 정준선 (시각효과) 정란이 (시각효과) 송민관 (시각효과) 손현수 (시각효과) 박성민 (시각효과) 김동규 (시각효과) 홍진택 (시각효과) 박현묵 (시각효과) 김태영 (시각효과) 김임준 (시각효과) 김광호 (시각효과) 박효진 (시각효과) 김예인 (시각효과) 함동일 (시각효과) 최재식 (시각효과) 박종신 (시각효과) 신지혜 (시각효과) 이상윤 (시각효과) 이대철 (시각효과) 이대옥 (시각효과) 신성연 (시각효과) 안효빈 (시각효과) 김다혜 (시각효과) 김도윤 (시각효과) 김동민 (시각효과) 박준혁 (시각효과) 이현승 (시각효과) 이성민 (시각효과) 이기민 (시각효과) 장인석 (시각효과) 김강일 (시각효과) 이은솔 (시각효과) 김지은 (시각효과) 정승호 (시각효과) 인채홍 (시각효과) 손재민 (시각효과) 정원희 (시각효과) 최윤정 (시각효과) 송다연 (시각효과) 김량진 (시각효과) 김영희 (시각효과) 권오성 (시각효과) 이상진 (시각효과) 김태훈 (시각효과) 조현수 (특수분장팀) 최성근 (특수분장팀) 황상필 (특수분장팀) 황규리 (특수분장팀) 이상하 (-무술팀) 정성호 (-무술팀) 이학렬 (-무술팀) 송병철 (-무술팀) 유관형 (-무술팀) 류연영 (-무술팀) 이태영 (-무술) 최영심 (분장) 정수진 (분장팀) 정루비 (의상) 이승민 (현장편집) 김백표 (편집보) 문자빈 (편집보) 문인대 Mun In-dae (편집) 임정혜 (마케팅총괄) 이관용 (광고디자인) 우민혁 (광고디자인) 장승민 (광고디자인) 연다솔 (광고디자인) 백정민 (광고디자인) 김지민 (디지털색보정) 송유창 (스토리보드) 김태완 (데이터매니저) 한근호 (디지털이미징테크니션) 정혜수 (데이터매니저) 김영욱 (발전차) 김경수 (발전차) 김선일 (세트제작) 함사랑 (의상팀장) 백승연 (분장팀장) 서민부 (디지털색보정) 김원학 (디지털색보정) 한지혜 (디지털색보정) 김유미 (디지털색보정) 어울림 (마케팅진행) 정연수 (국내배급총괄) 김학준 (국내배급진행) 권은경 (관리책임) 오상민 (공동투자총괄) 한용희 (공동투자책임) 구남길 (관리총괄) 김도연 (디지털배급책임) 옥진주 (디지털배급진행) 조형래 (디지털배급진행) 김나경 (디지털배급진행) 박성윤 (디지털배급진행) 김윤환 (디지털배급진행) 이수빈 (디지털배급진행) 이장종 (디지털배급진행) 윤태호 (누룩미디어) 윤유진 (누룩미디어) 김태임 (누룩미디어) 김상아 (누룩미디어) 이한울 (누룩미디어) 김태원 (해외배급총괄) 이정하 (해외배급책임) 김나현 (해외배급진행) 정지선 (해외배급진행) 이윤기 (해외배급진행) 김태주 (마케팅홍보) 김형섭 (마케팅홍보) 김경중 (마케팅홍보) 신정민 (온라인마케팅) 윤효진 (온라인마케팅) 이주연 (온라인마케팅) 서범석 (온라인디자인) 이나라 (온라인디자인) 이아름 (온라인디자인) 김세형 (온라인디자인) 김아영 (온라인디자인) 조은영 (온라인디자인) 남주원 (온라인디자인) 이동근 (예고편) 이창준 LEE Chang-joon (예고편) 시광수 (예고편) 김서현 (예고편) 장유리 (예고편) 김수환 (예고편) 김정은 (예고편) 이승희 (포스터사진) 김설우 (현장사진) 이은지 (현장사진) 이환호 (캐스팅지원) 장원석 (캐스팅지원) 김이슬 (사투리 자문) 김승희 (카메라장비) 한두한 (카메라장비) 이종호 (카메라장비) 소순중 (카메라장비) 박미현 (카메라장비) 변기범 (카메라장비) 한재환 (제작탑차) 김운희 (노무자문) 금현영 (스튜디오) 홍인미 (스튜디오) 차혁렬 (스튜디오) 김기훈 (스튜디오) 김영석 (매니저부문) 최성필 (매니저부문) 오종헌 (매니저부문) 권준모 (매니저부문) 이중엽 (매니저부문) 이지영 (매니저부문) 이영준 (매니저부문) 이훈석 (매니저부문) 이용환 (매니저부문) 박홍신 (매니저부문) 김채민 (매니저부문) 나병준 (매니저부문) 정숙향 (매니저부문) 문정현 (매니저부문) 윤도영 (매니저부문) 배명호 (매니저부문) 지승범 (매니저부문) 최명규 (매니저부문) 황재현 (매니저부문) 홍주영 (매니저부문) 이진성 (매니저부문) 금익현 (매니저부문) 서현진 (매니저부문) 강다현 (매니저부문) 신성호 (매니저부문) 진아 (매니저부문) 한용주 (매니저부문) 강승수 (매니저부문) 박재서 (매니저부문) 오훈환 (매니저부문) 배혜림 (매니저부문) 권혁성 (매니저부문) 김호영 (매니저부문) 정원호 (매니저부문) 정상화 (메이킹) 최용진 (메이킹) 최용규 (메이킹) 김은정 (메이킹) 임선진 (메이킹) 김득만 (메이킹) 이준우 (메이킹) 최지혜 (보조출연) 김덕영 (스타일리스트) 장영재 (보험),-,-,-,137294,DAiXnwskkhI
2019,2019 .12.12 개봉,영화,멜로/로맨스,1 더하기 3,프룻 첸,https://movie-phinf.pstatic.net/20191204_25/1575439403892UVJG0_JPEG/movie_image.jpg,"멈추지 않는 성욕과 사랑하는 세 명의 남편을 위해,@ 선상에서 밤낮 없이 몸을 파는 여인 무이.@ 결코 마르지 않은 그녀의 샘,@ 그리고 이를 탐한 세 남자의 운명은 과연 어디로 흘러갈까?",해외,홍콩,hWOwwoQAnAc,-,-,청소년 관람불가,101분,-,등월평 진담문 증미혜자 ,-,배우/제작진 수상 이력@수상정보 테이블표@2019@제 15회 취리히 영화제@후보@윈도우-홍콩 (프룻 첸)@제 21회 우디네 극동영화제@후보@홍콩영화 (프룻 첸)@제 13회 아시안 필름 어워드@후보@신인상 (진담문)@후보@여우주연상 (증미혜자)@후보@최우수감독상 (프룻 첸)@제 43회 홍콩 국제 영화제@후보@홍콩 파노라마 (프룻 첸)@제 38회 홍콩금상장영화제@후보@감독상 (프룻 첸)@후보@신인상 (진담문)@수상@여우주연상 (증미혜자)@후보@작품상 (프룻 첸)@2018@제 55회 금마장@후보@금마장상 후보작 (프룻 첸)@제 31회 도쿄국제영화제@후보@경쟁부문 (프룻 첸),-,-,  ,-
2019,2019 .11.21 개봉,영화,"액션, 범죄",10 미니츠 곤,브라이언 A 밀러,https://movie-phinf.pstatic.net/20191104_204/1572831892374kDh7z_JPEG/movie_image.jpg,"동물적인 직감과 1초의 오차도 용납하지 않는 설계자 ‘렉스’@ 철저한 계획 하에 움직이는 기술자 ‘프랭크’와 멤버들은@ 은행을 털지만 비상벨이 울리고 경찰과 시가전을 벌이고@ 프랭크는 의문의 공격으로 기억을 잃는데…@ 룰이 깨지고 모든 멤버들이 타겟이 된다.@ 지워진 10분, 사건이 재구성된다!@ @ 사라진 돈의 전쟁이 시작된다!",해외,캐나다 / 미국,wV6_AvfAF2c,(주)풍경소리,(주)풍경소리,15세 관람가,96분,-,마이클 치클리스 브루스 윌리스 ,-,-,-,-,   ,-
2019,2019 .09.12 개봉,영화,코미디,100일 동안 100가지로 100퍼센트 행복찾기,플로리안 데이비드 핏츠,https://movie-phinf.pstatic.net/20190823_42/1566527815482pg1bg_JPEG/movie_image.jpg,"어렸을 적부터 함께 자라고, IT 회사도 공동 운영,@ 사는 집도 아랫집, 윗집으로 이웃사촌인 ‘폴’과 ‘토니’는 둘도 없는 X랄 친구!@ @ 스마트폰과 아마존 없이는 못 사는 #소비킹 ‘폴’과@ 자신감과 발모약 없이는 못 사는 #자기관리킹 ‘토니’가@ 1,400만 유로라는 빅딜 성사 후의 축하 파티에서@ 거하게 취해 신경전을 벌이다가 홧김에 황당한 내기를 하게 된다.@ @ 모든 것을 버린 후, 하루에 한 가지 물건을 돌려받으며@ 100일을 버텨야 하는 ‘100일 챌린지’를 하게 된 ‘폴’과 ‘토니’!@ @ 극과 극 성격, X랄 친구들의@ 죽자고 덤비는 기상천외 100일 챌린지가 시작된다!",해외,독일,-,영화사 진진,영화사 진진,15세 관람가,111분,-,울프강 스텀프 요하네스 알마예르 카타리나 탈바흐 한넬로르 엘스너 미리엄 스테인 마치아스 슈와바이어퍼 플로리안 데이비드 핏츠 ,  플로리안 데이비드 핏츠 Florian David Fitz (각본) 댄 매그 Dan Maag (제작) 벤하드 제스퍼 Bernhard Jasper (촬영) 요세프 바흐 Josef Bach (음악) 아르네 슈만 Arne Schumann (음악) 크리스티안 아이슬레 Christian Eisele (미술) 메틴 미스딕 Metin Misdik (의상) 데니스 바흐터 Denis Bachter (편집) 안나 드 미어 이 오르투뇨 Ana de Mier y Ortuno (편집),배우/제작진 수상 이력@수상정보 테이블표@2019@제 20회 뉴포트비치 영화제@수상@관객상-외국장편 (플로리안 데이비드 핏츠)@후보@스포트라이트 (플로리안 데이비드 핏츠)@제 69회 베를린국제영화제@후보@LOLA 앳 베를리날레 (플로리안 데이비드 핏츠),-,-,     -,-
2019,2019 .12.12 개봉,영화,드라마,10년,하야카와 치에  키노시타 유스케  츠노 메구미,https://movie-phinf.pstatic.net/20191120_7/15742132863658HGFL_JPEG/movie_image.jpg,"안락사, 인공지능과 완전히 통제된 교육,@ 디지털 유산과 알 권리, 환경오염, 전쟁을 비롯해@ 이미 우리의 이야기일 수도,@ 혹은 우리의 이야기가 될 수도 있는 세상@ @ 고레에다 히로카즈 감독 & 신예 5인 감독이 함께 만든@ 냉철하지만 그 안에 따뜻함이 숨어있는 다섯 개의 시선에 관한 이야기",해외,일본,FmKjd26MLzQ,(주)디오시네마,(주)디오시네마,전체 관람가,99분,-,카와구치 사토루 나가노 타이가 이케와키 치즈루 쿠니무라 준 스기사키 하나 ,  후지무라 아키요 Fujimura Akiyo (각본) 하야카와 치에 Chie HAYAKAWA (각본) 이시카와 케이 Ishikawa Kei (각본) 키노시타 유스케 Yusuke Kinoshita (각본) 츠노 메구미 TSUNO Megumi (각본) 제이슨 그레이 Jason Gray (공동각본) 고레에다 히로카즈 Hirokazu Koreeda (제작) 제이슨 그레이 Jason Gray (제작) 고레에다 히로카즈 Hirokazu Koreeda (기획) 우 카-릉 NG Ka-leung (기획) 하야카와 치에 Chie HAYAKAWA (편집) 키노시타 유스케 Yusuke Kinoshita (편집) 츠노 메구미 TSUNO Megumi (편집) 요시다 시게루 Shigeru Yoshida (편집),배우/제작진 수상 이력@수상정보 테이블표@2019@제 7회 디아스포라 영화제@후보@아시아 나우 (하야카와 치에 외 4명)@제 50회 인도국제영화제@후보@아시아의 영혼 (하야카와 치에 외 2명)@제 21회 우디네 극동영화제@후보@회고전 (하야카와 치에 외 4명)@2018@제 19회 샌디에고 아시안 영화제@후보@디스커버리즈 (하야카와 치에 외 4명)@제 38회 하와이국제영화제@후보@스포트라이트 온 재팬 (하야카와 치에 외 4명)@후보@필름 포 소트 (하야카와 치에 외 4명)@제 55회 금마장@후보@10년 (하야카와 치에 외 4명)@제 23회 부산국제영화제@후보@아시아영화의 창 (하야카와 치에 외 4명),-,-,1570,pOcqrPFKv-Y
2019,2019 .04.11 개봉,영화,전쟁,12번째 솔저,해럴드 즈워트,https://movie-phinf.pstatic.net/20190329_230/1553821396207SyrSL_JPEG/movie_image.jpg,"제2차 세계대전 나치에 점령된 노르웨이.@ 나치를 함락시킬 유일한 ‘마틴 레드 작전’에 노르웨이 저항군 12명이 투입된다.@ 하지만 작전 도중 발각되어 이들 중 11명은 체포되고@ 단 1명, '얀'만이 총상을 입은 채 탈출에 성공한다.@ 혹독한 추위와 험난한 설산 속에서@ 냉혈한 나치 친위대 쿠르트 슈타게는 집요하게 추격해오는데…",해외,노르웨이,5b0J7e9Q-V8,(주)엣나인필름,(주)엣나인필름,12세 관람가,135분,-,베가 호엘 마리 블로쿠스 매즈 소요가드 피터센 조나단 리스 마이어스 토마스 갈라스타드 ,  페터 스카브란 Petter Skavlan (각본) 에이지 아베르게 Aage Aaberge (제작) 에스펜 혼 Espen Horn (제작) 해럴드 즈워트 Harald Zwart (제작) 베슬레모이 러드 즈워트 Veslemoy Ruud Zwart (제작) 잔 에이릭 랑곤 Jan Eirik Langoen (라인프로듀서) 시에틸 옌스버그 Kjetil Jensberg (기획) 론 코스런드 Lone Korslund (기획) 조나단 리스 마이어스 Jonathan Rhys Meyers (기획) 페터 스카브란 Petter Skavlan (기획) 헨릭 제인 Henrik Zein (기획) 게이르 하틀리 앤드리센 Geir Hartly Andreassen (촬영) 크리스토퍼 벡 Christophe Beck (음악) 리브 애스크 Liv Ask (아트디렉터) 미카엘 바레리 Mikael Varhelyi (미술) 카렌 파브리티어스 그램 Karen Fabritius Gram (의상) 젠스 크리스찬 포드스타드 Jens Christian Fodstad (편집) 페터 S. 홈슨 Petter Holmsen (배역) 울리케 뮬러 Ulrike Muller (배역),배우/제작진 수상 이력@수상정보 테이블표@2018@제 45회 겐트 영화제@후보@세계 영화 부문 (해럴드 즈워트)@제 55회 금마장@후보@파노라마 (해럴드 즈워트),-,-,2427,-
2019,2019 .07.04 개봉,영화,"드라마, 가족",13년의 공백,사이토 타쿠미,https://movie-phinf.pstatic.net/20190529_195/1559091750775r3CRR_JPEG/movie_image.jpg,"담배를 사러 다녀 오겠다는 아버지는 그렇게 돌아오지 않았다.@ 엄마는 아버지 대신 일을 나가고, 형은 엄마 대신 내 도시락을 준비했다.@ 원망과 그리움이 한 데 섞인 13년이 흐른 지금,@ 아버지와의 틈을 메우지 못한 채 아주 오랜만에 그를 마주한다.",해외,일본,LGdpDMy2S4g,(주)디오시네마,"(주)영화사 그램 , (주)디오시네마",12세 관람가,71분,-,칸베 히로시 무라카미 준 오리모토 준키치 오니시 리쿠 사토 지로 칸노 미스즈 마츠오카 마유 사이토 타쿠미 릴리 프랭키 타카하시 잇세이 ,  사이조 미츠토시 Mitsutoshi Saijo (각본) 하시모토 코지 Koji Hashimoto (원작자) 카네코 노부아키 Kaneko Nobuaki (음악),배우/제작진 수상 이력@수상정보 테이블표@2018@제 38회 하와이국제영화제@후보@스포트라이트 온 재팬 (사이토 타쿠미)@2017@제 48회 인도국제영화제@후보@국제 경쟁 (사이토 타쿠미)@제 28회 싱가포르 국제 영화제@후보@아시안 비젼 (사이토 타쿠미)@제 27회 유바리국제판타스틱영화제@수상@대상 (사이토 타쿠미)@후보@초청영화 (사이토 타쿠미)@제 21회 부천국제판타스틱영화제@후보@패밀리존 : 장편 (사이토 타쿠미),-,-,5543,-
2019,2019 .03.14 개봉,영화,다큐멘터리,1919 유관순,신상민,https://movie-phinf.pstatic.net/20190222_78/1550800424424qWbEp_JPEG/movie_image.jpg,"100년 전, 소녀들이 대한독립을 위해 세상에 맞서기 시작했다.@ 우리가 기억해야 할 그 시절 모든 소녀들의 이름,@ 그녀들이 남긴 그날의 가장 생생한 기록!",국내,한국,-,유관순문화산업전문유한회사,"(주)마운틴픽쳐스 , kth(주)",12세 관람가,79분,-,나애진 문보람 황도원 장세아 류의도 김무늬 김규리 박자희 김나니 양윤희 이새봄 ,  권선 (각색) 이은혜 (원작자) 정지윤 (구성) 김예천 (구성) 김문주 (구성) 최창현 (책임프로듀서) 최동선 (총괄프로듀서) 박상현 (제작이사) 이은혜 (기획) 김송연 (기획) 권오경 (촬영) 서종광 (조명) 송가진 (조감독) 송원규 (동시녹음) 나상인 (믹싱) 김만희 (음악) 박양균 (미술) 남기상 (세트) 소지훈 (특수분장) 도광섭 (특수효과) 문인식 (시각효과) 장혜령 (분장) 신상민 (편집) 김만희 (기획이사) 염기수 (장비) 나상인 (디지털색보정) 한욱 (마케팅홍보) 김준형 (기획부) 임건상 (기획부) 김우진 (기획부) 곽지혜 (재무) 주성주 (캐스팅지원) 오대석 (예고편) 윤학렬 (총감독) 민경호 (디자인) 임용진 (메이킹) 서홍선 (보조출연),-,-,-,61938,pH26-BThfNM
2019,2019 .10.03 개봉,영화,"SF, 액션",2047 버추얼 레볼루션,가이-로저 듀버트,https://movie-phinf.pstatic.net/20190925_8/1569398033867JMugk_JPEG/movie_image.jpg,"가상현실 기술의 발달로 환상과 현실이 혼합된 근 미래의 유럽.@ 어느 날, 사이버 세계 속에서 한 테러조직에 의한 살인사건이 발생하고, 가상과 현실의 구분 없이 살고 있는 사설탐정 ‘내쉬’는 이 테러조직을 추격하기로 한다.@ 온라인 가상의 세계와 현실을 오가며 테러리스트를 쫓기 시작하고, 이는 되돌릴 수 없는 결과를 불러오는데…@ @ 이 곳에서 상상할 수 있는 모든 액션이 뒤집힌다!",해외,미국,fkkslHGZJfs,(주) 케이알씨지,(주) 케이알씨지,15세 관람가,92분,-,패트라 실랜더 멜리사 마르스 에밀리언 드 팔코 니콜라스 반 비버렌 맥시밀리엔 폴레인 요헨 해겔 제인 배들러 마이크 도퍼드 ,  가이-로저 듀버트 Guy-Roger Duvert (각본) 가이-로저 듀버트 Guy-Roger Duvert (제작) 길 애글로리 Gil Aglaure (기획) 시릴 브론 Cyril Bron (촬영) 가이-로저 듀버트 Guy-Roger Duvert (음악) 실뱅 프랑쉐 Sylvain Franchet (편집),-,-,-,       -,-
2019,2019 .08.28 개봉,영화,"공포, 스릴러",47미터 2,요하네스 로버츠,https://movie-phinf.pstatic.net/20190828_168/1566978748244QCEtz_JPEG/movie_image.jpg,"물에 잠긴 고대 마야의 수중도시 '시발바'를 향해@ 짜릿한 동굴 다이빙에 나선 '미아'와 친구들은@ 예기치 못한 사고로 미로 같은 동굴 속에 갇혀 헤매던 중@ 오랜 시간 굶주린 블라인드 샤크와 맞닥뜨리게 된다.@ @ 산소도, 탈출구도 없는 칠흑 같은 어둠 속에 갇힌 이들은@ 눈 보다 예민한 제3의 감각으로 좁혀오는 상어떼를 피해@ 목숨을 건 극한의 숨바꼭질을 시작하는데..",해외,미국,-,조이앤시네마,"TCO(주)더콘텐츠온 , (주)제이앤씨미디어그룹",15세 관람가,90분,-,니아 롱 존 코베트 킬린 람보 다비 산토스 브렉 베싱어 코린 폭스 브리안느 쥬 시스틴 로즈 스탤론 소피 넬리스 ,  어니스트 리에라 Ernest Riera (각본) 요하네스 로버츠 Johannes Roberts (각본) 제임스 해리스 James Harris (제작) 로버트 존스 Robert Jones (제작) 마크 레인 Mark Lane (제작) 케이트 글로버 Kate Glover (공동제작) 바이런 알렌 Byron Allen (기획) 크리스 차라램부스 Chris Charalambous (기획) 윌 클락 Will Clarke (기획) 마크 드비트레 Mark DeVitre (기획) 캐롤린 폴크스 Carolyn Folks (기획) 제니퍼 루카스 Jennifer Lucas (기획) 앤디 메이슨 Andy Mayson (기획) 마이크 루나갈 Mike Runagall (기획) 마크 실크 Mark Silk (촬영) 토맨댄디 tomandandy (음악) 마리아 페르난다 사보갈 Maria Fernanda Sabogal (아트디렉터) 데이빗 브라이언 David Bryan (미술) 파멜라 아귈로 Pamela Aguilo (세트) 클레어 핀레이 Claire Finlay (의상) 마틴 브링클러 Martin Brinkler (편집) 콜린 존스 Colin Jones (배역),-,-,-,501934,-
