year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,awards,series,soundtrack,amount,ref_video
1995,1995 .12.16 개봉,영화,"액션, 스릴러",007 골든 아이,마틴 캠벨,https://movie-phinf.pstatic.net/20111222_264/13244975364353A1B5_JPEG/movie_image.jpg,냉전이 와해되고 정치적양상이 시시각각으로 변화되는 20세기 말 새로운 세계가 도래하게 된다. 1989년 베를린 장벽의 붕괴 이후 공산주의가 연쇄적으로 그 종말을 고했다. 러시아에 근거지를 둔 유럽 마피아가 새로운 범죄조직으로 등장하여 전 세계에 걸쳐 사회 경제적으로 폭력과 혼란을 야기시키게 된다. 이들은 항공밀수업자로 우주에서 새로운 대체무기를 얻으려고 갖은 권모술수를 사용하지만 정의의 제임스 본드는 그들의 본거지로 침투해 들어간다. 첨단무기를 갖춘 새로운 범죄조직과 007과의 대결이 다이나믹한 액션과 더불어 숨가쁘게 펼쳐진다.,해외,영국 / 미국,_MPGWMCxXAU,-,-,15세 관람가,130분,-,주디 덴치 로비 콜트레인 조 돈 베이커 팜케 얀센 이자벨라 스코럽코 숀 빈 피어스 브로스넌 ,  제프리 케인 Jeffrey Caine (각본) 브루스 페어스타인 Bruce Feirstein (각본) 마이클 프랜스 Michael France (원안) 바바라 브로콜리 Barbara Broccoli (제작) 마이클 G. 윌슨 Michael G. Wilson (제작) 안소니 웨이 Anthony Waye (협력프로듀서) 톰 페브스너 Tom Pevsner (기획) 필 메히어스 Phil Meheux (촬영) 에릭 세라 Eric Serra (음악) 피터 라몬트 Peter Lamont (미술) 줄리안 스펜서 Julian Spencer (-무술감독) 린디 헤밍 Lindy Hemming (의상) 테리 로링스 Terry Rawlings (편집),배우/제작진 수상 이력@수상정보 테이블표@2017@제 48회 인도국제영화제@후보@회고전 (마틴 캠벨)@2016@제 19회 상하이국제영화제@후보@클래식 007 영화 스크리닝 (마틴 캠벨)@1996@제 5회 MTV 영화 & TV 어워즈@후보@최고의 싸움상 (피어스 브로스넌 vs 팜케 얀센),-,-,-,_MPGWMCxXAU
1995,1995 .04.22 개봉,영화,"드라마, 미스터리",301 302,박철수,https://movie-phinf.pstatic.net/20111222_249/1324555456933bQURe_JPEG/movie_image.jpg,오염된 도시 생활에 찌들어 있는 현대인에게 꿈과 희망을 가져다 준다는 새희망 바이오 아파트 302호에는 '신경성 식욕부진증'에 시달리며 더이상 음식을 먹지 못하게 된 윤희(황신혜 분)라는 여자가 살고 있다. 302호 윤희는 정육점하는 의붓아버지의 강간을 피해 냉장고 안에 숨게 되는데 이웃집 아이가 그녀를 흉내내다 냉장고 속에서 얼어 죽는 사건을 맞았다. 그 이후 윤희는 음식을 보기만 해도 토해내는 증상이 생겼고 음식 섹스에 대해 본능적으로 거부해 왔다. 이사온 날부터 계속되어지는 301호 여자의 302호 여자에의 요리 공세. 301호 여자는 302호로 음식을 계속 나르고 302호 여자는 음식을 토하거나 버리는 반복되는 생활이 벌어진다.,국내,한국,LT0KQ57BzYQ,영성프로덕션,-,청소년 관람불가,99분,-,장영주 재영 박철호 김추련 황신혜 방은진 ,  이서군 (각본) 황경성 (제작지휘) 황경성 (제작실장) 어정웅 (제작부장) 박철수 PARK Chul-soo (제작) 박철수 PARK Chul-soo (기획) 황서식 (촬영부) 이철효 (촬영부) 최세규 (촬영부) 조용현 (촬영부) 이혜경 (촬영부) 이은길 (촬영) 신준하 (조명) 양승규 (조명부) 전진용 (조명부) 홍순재 (조명부) 김세진 (조명부) 박영훈 (조연출) 송영철 (조연출) 방상훈 (조연출) 권순미 (스크립터) 강대성 (음향) 변성용 (음악) 최정화 (미술) 조융삼 (세트) 김성문 (특수분장) 안희준 (분장) 권순미 (의상) 원지애 (의상) 박곡지 (편집) 한정혜 (푸드) 양대호 (효과),배우/제작진 수상 이력@수상정보 테이블표@2013@제 18회 부산국제영화제@후보@특별기획 프로그램 (박철수)@1996@제 6회 후쿠오카 국제 영화제@후보@상영작 (박철수)@제 16회 한국영화평론가협회상@수상@여우주연상 (방은진)@제 19회 황금촬영상 시상식@수상@촬영상-신인상 (이은길)@제 34회 대종상 영화제@후보@미술상 (최정화)@후보@시나리오상 (이서군 외 1명)@후보@여우주연상 (방은진)@1995@제 6회 춘사영화제@수상@기술상 (김성문)@수상@여우주연상 (방은진)@제 16회 청룡영화상@수상@각본상 (이서군)@후보@감독상 (박철수)@수상@여우주연상 (방은진),-,-,-,8LBI5t2q8k4
1995,1995 .11.04 개봉,영화,"범죄, 드라마",48 + 1,원성진,https://movie-phinf.pstatic.net/20111222_280/1324504030972ITmvB_JPEG/movie_image.jpg,화투의 최고수급인 정수(김명곤 분)는 서울에서 얼굴이 너무 많이 알려져 지방 도시를 전전하며 도박 생활을 하던 중 재향(진주희 분)이라는 도박판 심부름꾼 여자를 만나 같이 서울로 올라 온다. 재향은 정수에게 돈을 벌어올 것을 강요하고 사기 도박단을 조직하고 있던 옛친구 홍석(전무송 분)이 정수에게 도움을 청해온다. 자해 공갈단을 조직해 길거리에서 돈을 뜯어내는 저질 폭력배였던 강토(박상민 분)는 홍석의 아지트에서 도박을 하다 정수의 놀라운 도박솜씨에 매료된다. 그리고 우연히 이 도박판이 속임수라는 것을 발견한 강토는 홍석을 협박해 돈을 뜯어내려 한다.@ 더이상 정수가 필요없다고 생각한 홍석은 부하들을 시켜 정수와 강토를 처치하라고 명령하고 정수의 여자인 재향을 유혹 사채업자인 황사장에게 소개한다. 돈과 여자를 잃어버린 정수는 홍석에게 복수를 결심하고 도박 기술을 배우기 위해 정수에게 매달리는 강토를 수재자로 삼아 자신의 기술을 전수한다. 2년의 시간이 흐른 후 변장을 한 강토는 홍석의 사기도박에 잠입하고 정수는 강토를 돕기 위해 홍석을 유인한다. 홍석은 강토와 정수가 한패라는 사실을 모르고 정수와 강토는 도박으로 홍석을 알거지로 만드는데 성공한다. 계획이 성공한 후 정수는 도박판을 영원히 떠나겠다며 강토의 곁을 떠나고 강토는 떠나는 정수의 뒤를 향해 개같이 벌어 정승같이 쓰겠다며 다짐을 하는데.@ [스포일러] 강토의 실력을 알아차린 홍석은 강토를 자신의 패거리에 끌어들이고 정수를 뒤쫓아 더이상 도박을 못하도록 오른손의 힘줄을 끊어버린다. 홍석과 함께 도박판을 주름잡던 강토 어느날 엄청난 호구가 걸려들었다며 홍석은 강토를 부른다. 상대편 기사로 초빙된 자는 일본에서 온 포카 박이었다. 탁월한 심리전으로 강토를 압도하는 포카박 수십억원의 레이스가 펼쳐지고 돈이 모자란 강토는 자신의 목숨을 담보로 한다. 그러나 이겼다고 생각한 순간 강토의 속임수가 홍석에 의해 탄로나고 이 모든 것이 홍석의 계략이었다는 사실에 분노한 강토는 포카박의 칼에 맞아 죽어가며 홍석을 향해 칼을 날린다.@ {"화투는 모두 48장! 그러나 인간의 마음 속에 또 1장. 그것은 온갖 환상을 빚어대는 요술 카드. 그것만 잡으면 이 판은 내것인데 잡힐 듯 잡힐 듯 잡히지 않는다. 그것은 처음부터 형체가 없는 것이거늘......""}",국내,한국,Q9TGamouyrk,-,-,청소년 관람불가,106분,-,홍성민 진주희 김성찬 전무송 박상민 김명곤 ,  원성진 (각본) 임낙규 (각본) 허영만 (원작자) 이후근 (제작부) 김철준 (제작) 승정호 (기획) 황서식 (촬영부) 박용수 (촬영부) 최세규 (촬영부) 조용현 (촬영부) 박현철 (촬영) 신학성 (조명) 김일준 (조명) 양승규 (조명부) 전진용 (조명부) 정서경 (조명부) 홍순재 (조명부) 정기성 (그립) 이동수 (조연출) 변준석 (연출부) 김연희 (연출부) 양동구 (연출부) 여미정 (조감독) 손인호 (붐어시스턴트) 김현규 (음악) 이문걸 (특수효과) 윤종두 (특수분장팀) 권일수 (-무술팀) 황춘수 (-무술팀) 장인한 (분장) 장진 (분장) 전용수 (분장) 홍은주 (의상) 김정원 (의상) 현동춘 (편집) 박성신 (음악부문) 임인성 (음악부문) 이원우 (스타일리스트) 세방현상소 (현상) 이재희 (효과),배우/제작진 수상 이력@수상정보 테이블표@1995@제 6회 춘사영화제@수상@기술상 (현동춘)@수상@기술상 (장인환)@수상@기획제작상 (원성진)@수상@신인감독상 (원성진),-,-,-,-
1995,-,영화,-,5인의 테러리스트와 나홀로 게임,로렌스 라노프,https://movie-phinf.pstatic.net/20111222_14/1324535936982d4OY1_JPEG/movie_image.jpg,스튜어트 울프(Stuart Wolfe: 미키 리뷰 분)는 11살짜리 소년으로 자신의 힘으로 태양열을 이용해 밧데리없이 움직이는 차를 만들 정도로 영리한 소년이다. 아빠 칸레드 울프(Conrad Wolfe: 죠지 샤먼 분)는 외교관 출신으로 부인 헬렌(Helene Wolfe: 린다 로포토 분)과 함께 독일에서 임기를 마치고 미국으로 돌아와 생활한다. 딸 켈리 울프(Kelly Wolfe: 알리 패트릭 분)는 남자를 좋아하는 아가씨로 아빠가 자신의 행동을 제한하는 것에 불만을 품고 매사에 아빠의 말에 항의적이다. 어느날 독일의 폴리텍 대학교의 연구 과학자로 일하는 스튜어트 삼촌에게서 세계나라 회사에서 서로 원하는 엄청난 대가를 받고 팔수있을 정도의 정보를 팩스로 받게 된다. 영리한 스튜어트는 이 팩스의 내용을 자신의 컴퓨터에 넣어뒀고 괴한 5명이 집에 들이닥치며 그 팩스를 내놓을 것을 요구하며 컴퓨터에 입력된 내용을 꺼내기 위해 갖은 노력을 다했지만 코드 번호를 알아낸 시점에서 스튜어트는 괴한이 감전이 되도록 소금물을 뿌려놓은 자리에 컴퓨터의 전선과 연결시켜 코드 번호는 나왔지만 결국 괴한은 감전되어 죽고 컴퓨터는 다 망가진다. 영리한 스튜어트는 괴한들을 이런 방컥막 다 처치했고 괴한들에게 많은 돈을 주고 대기업의 위원회에 팔아 넘기려 했던 랭글리도 위원회에서 보낸 괴한의 손에 죽게 되어 결국 컴퓨터는 망가졌지만 괴한들 5명은 다 처치되고 스튜어트의 가족들만 남아 다시 행복한 분위기의 가정이 된다.,해외,미국,7yBbnHvt7JQ,-,-,12세 관람가,86분,-,애드리언 비토리아 린다 로포토 조지 샤넌 데이빗 키스 밀러 미키 르보 ,  안소니 G. 나코네츠니 Anthony G. Nakonechnyj (촬영) 키스 아렘 Keith Arem (음악) 제니퍼 레이드 Jennifer Rade (의상) 토니 밀러 Tony Miller (편집),-,-,-,-,Jy7TNZ0jz7U
1995,-,영화,-,8초의 승부,존 G. 아빌드센,https://movie-phinf.pstatic.net/20111222_89/1324508383236BOhza_JPEG/movie_image.jpg,로데오 챔피언 레인 프로스트의 삶을 토대로 시골 마을의 평범한 소년이 로데오 챔피언이 되기까지의 과정을 그린 영화. TV 시리즈 <비버리힐즈 아이들>의 루크 페리가 로데오 선수로 출연한다. <록키> <파워 오브 원>을 만든 존 G.어드빌슨 감독 작품.@  오클라호마의 작은 마을에 사는 소년 레인 프로스트(Lane Frost: 루크 페리 분). 그는 젊은 시절 로데오경기 선구자였던 아버지 클라이드 프로스트(Clyde Frost: 제임스 레브혼 분)의 아들로 전설적인 로데오 챔피언을 열망하던 아버지의 염원을 물려 받는다. 거대한 황소 위에 있는 작은 아들의 모습이 범상치 않음을 발견한 클라이드는 레인에게 일찍부터 엄격한 로데오 훈련을 시킨다. 열 여덟살 되던 해 레인은 친구 터프 헤드만(Tuff Hedeman: 스테판 볼드윈 분) 코디 램버트(Cody Lambert: 레드 미첼 분)와 한 팀이 되어 첫 로데오 경기에 참석한다. 타고난 용모와 특유의 과감성으로 레인은 로데오계의 새 별로 급부상하고 야생마 타기 부문 챔피언인 켈리(Kellie Frost: 신시아 게리 분)를 만나 첫눈에 반하게 된다.@  사랑에 빠진 두사람은 어린 나이에 결혼을 해 가정을 꾸미고 레인은 켈리의 도움에 힘입어 참가하는 경기마다 우승을 거두어 선전한다. 그러나 늘상 떨어져 사는 결혼 생활과 우승에 대한 중압감때문에 레인은 슬럼프에 빠지게 되고 그런 레인에게 친구 터프는 라스베가스 게임에 도전해 볼 것을 권유한다. 그것은 바로 33명의 전직 챔피언을 해치운 황소 레드록과의 결전이다. 반면 케리 역시 유명한 로데오 선수인 남편의 그늘에 가려 조금씩 지쳐간다. 그러던 어느날 범민하던 켈리 앞에 옛 애인 마틴이 나타난다. 레드록과의 시합을 하루 남겨놓은 날 질투에 휩싸인 레인은 이 일로 켈리와 심하게 다투게 되는데.,해외,미국,vSBJgeLRqFQ,-,-,PG-13,105분,-,로니 클레어 에드워즈 캐리 스노지레스 캐머런 핀리 신시아 기어리 린든 애쉬비 레드 밋첼 제임스 레브혼 스티븐 볼드윈 루크 페리 ,  몬트 메릭 Monte Merrick (각본) 마이클 샘버그 Michael Shamberg (제작) 빅터 해머 Victor Hammer (촬영) 빌 콘티 Bill Conti (음악) 윌리암 J. 캐시디 William J. Cassidy (미술) 디나 애펠 Deena Appel (의상),-,-,-,-,JA1ZUgBDECY
1995,-,영화,-,95 캉캉 69,서필현,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,미미와 은아는 어릴 때부터 절친한 친구 사이다. 미미는 가수가 되기 위해 낮엔 회사에 나가 일을 하지만 밤엔 술집 몽마르뜨에서 노랠 부른다. 은아 역시 한때는 가수가 되려고 했지만 아버지가 갑자기 혈압으로 쓰러지는 바람에 가정을 위해 가수의 꿈을 포기하고 터키탕 마사지 걸이 된다. 미미는 어느날 레코드 취입을 시켜준다는 주철의 꾀임에 빠져 돈을 날린 뒤 가수의 꿈을 포기하고 고향으로 떠난다. 그러나 보디가드를 자칭하며 미미를 그림자처럼 따라다니는 석현이 은아로부터 미미가 어릴때 자랐던 고향으로 갔을 거라는 얘기를 듣고 고향인 제주도로 달려간다. 제주도에서 미미와 석현은 서로의 사랑을 확인하고 결국 석현의 끈질긴 설득과 은아의 권유로 미미는 다시 꿈을 쫓아 몽마르뜨 무대에 서게 된다.,해외,한국,trqSKPutkPQ,-,-,청소년 관람불가,95분,-,유장식 최선화 문선경 강경돈 ,  임응순 (각본) 손만호 (제작) 방수용 (촬영) 현대원 (편집),-,-,-,-,-
1995,1995 .04.22 개봉,영화,"드라마, 멜로/로맨스",FTW,마이클 카르벨니코프,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,유망한 로데오 경기 선수였던 프랭크 T. 웰즈(Frank T. Wells: 미키 루크 분)는 살인혐의로 십년간을 미네소타 주립형무소에서 복역한 후 출소한다. 그는 새로이 로데오 챔피언의 명성을 얻기를 꿈꾸며 그의 오랜 친구인 인디안 로데오 선수 버키(Bucky Miller: 로드니 A. 그랜트 분)와 떠난다. 프랭크는 첫날 번 돈으로 아름다운 암말 엔젤을 산 후 버키의 낡은 트럭을 타고 로데오 경기를 찾아 나선다. 도중에 그는 5명이 살해된 은행 강도 사건에 연루되어 경찰에 쫓기고 있는 스칼렛(Scarlett Stuart: 로리 싱어 분)을 만나게 된다. 그는 첫눈에 그녀 역시 희생자임을 감지한다. 그녀는 폭력배인 오빠 클램(Clem Stuart: 피터 버그 분)에 의해 희생당한 인물로 자동차 수 맛겸유일한 이다. 고장난 프랭크의 트럭을 고쳐준 그녀는 프랭크의 자유를 찾는 여행에 합류하게 된다. 이 두사람의 범법자 사이에 위태로운 우정이 싹트기 시작한다. 거친 세상의 길잃은 영혼인 스칼렛과 힘든 세월에도 순수함을 간직한 프랭크. 불신과 경계로 시작한 이 둘의 관계는 영원을 약속하는 사이로까지 발전하지만 두사람의 과거는 이 아름다운 사랑을 비극으로 만들어 버린다. 프랭크는 아직도 서부 개척 시대를 꿈꾸는 남자로 그의 사랑은 헌신적이고 끈질기다. 프랭크는 그가 야생마를 사랑했고 울타리 없는 자유의 땅을 사랑했듯이 스칼렛을 사랑했다. 프랭크에게 스칼렛은 그가 꿈꾸어 온 자유 그 자체였기 때문에.,해외,미국,GyB0jzPR3q0,-,-,청소년 관람불가,100분,-,로드니 A. 그랜트 피터 버그 애론 네빌 로리 싱어 미키 루크 ,  미키 루크 Mickey Rourke (원안) 조안나 플라스키 Joanna Plafsky (공동제작) 트레버 쇼트 Trevor Short (공동제작) 대니 딤보트 Danny Dimbort (기획) 에이비 러너 Avi Lerner (기획) 제임스 L. 카터 James L. Carter (촬영) 게리 창 Gary Chang (음악) 조 더거스틴 Joe D'Augustine (편집),-,-,-,-,HcQlfdC6SHU
1995,1995 .07.29 개봉,영화,"액션, 범죄, 스릴러",LA 커넥션,레이몬드 마티노,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,베트남에 파견되었다가 작전 도중 뜻하지 않게 장군의 여식을 죽이게 된 프랭크(Frank: 조이 트라볼타 분)는 귀환 후 속죄하며 진실되고 평화로운 삶을 살아간다. 사랑하는 리비아와 결혼식 날 하객들의 축하 속에 식장을 나서는 프랭크를 향해 총탄이 쏟아지고 미쳐 이를 피하지 못한 리비아는 총에 맞아 그자리에서 숨지고 프랭크는 병원으로 옮겨지지만 중태에 빠진다. 같은 시각 결혼식장을 향하던 그의 친구 역시 자동차 폭발로 죽음을 당하고 잊고 나온 물건을 가지러 집으로 들어간 그의 애인 꼴레뜨(Colette: 안나 니콜 스미스 분)만 간신히 살아남는다. 급히 병원으로 실려간 프랭크는 다행히 목숨을 건지지만 간호사로 위장한 여인에게 또한번 독살될 위기에 놓이고 꼴레뜨도 정체를 알 수 없는 괴한들에게 쫓기기 시작한다. 자신의 목숨을 노리는 놈의 정체를 알 수 없어 괴러워하던 프랭크는 꼴레뜨가 건네준 CD에 의해 모든 사실을 알게된다. 결혼식장으로 향하던 자신의 친구가 남긴 유물인 그 CD에는 전직 CIA 요원의 비리가 담겨 있는데.,해외,미국,919GruRSZzE,-,-,청소년 관람불가,98분,-,플로이드 레빈 라이디 데니어 잭 배넌 마이클 누리 브랜스콤비 리치몬드 데이빗 프로벌 존 아프레 조이 트라볼타 안나 니콜 스미스 ,  레이몬드 마티노 Raymond Martino (각본) 조이 트라볼타 Joey Travolta (각본) 조이 트라볼타 Joey Travolta (제작) 브랜스콤비 리치몬드 Branscombe Richmond (공동제작) 레이몬드 마티노 Raymond Martino (공동제작) 마타 머리필드 Marta Merrifield (라인프로듀서) 길 워즈워스 Gilbert Alexander Wadsworth III (라인프로듀서) 존 아프레 John Aprea (협력프로듀서) 레이몬드 마티노 Raymond Martino (기획) 짐 하프페니 Jim Halfpenny (음악) 그레고리 마틴 Gregory Martin (미술) 존 대그넨 John Dagnen (편집) 랜디 캘러핸 Randy Callahan (배역),-,-,-,-,xqvlkSapWv4
1995,1995 .11.04 개봉,영화,"액션, SF, 스릴러",가상 현실,브렛 레너드,https://movie-phinf.pstatic.net/20111222_110/1324516138582e6Co7_JPEG/movie_image.jpg,어느 미래 사회 리텍이라는 한 회사에서 컴퓨터 가상 현실을 이용해 경관들의 현장 훈련을 안전하게 하기 위한 새로운 프로그램 씨드 6.7(SID 6.7: 러셀 크로우 분)을 만든다. 그 시험 운행에는 죄수들을 사용하고 있었는데 그 게임의 실행자는 다름 아닌 과거에 로스앤젤레스 경찰에서 형사로 활동 중 사건에 연루돼 살인죄로 복역 중인 파커 반즈(Parker Barnes: 덴젤 워싱톤 분)이다. 그런데 그와 함께 게임을 하던 다른 또하나의 죄수가 게임 도중 신경이상 발생으로 그만 숨지고 만다. 부작용을 목격한 회사 책임자는 씨드 6.7을 파괴하도록 지시하나 이미 수백명의 폭력적 인성인자를 갖고 있는 씨드는 그를 프로그래밍한 대럴을 이용하여 현실 세계로 나오는데 성공한다.@  당황한 경찰과 회사는 컴퓨터 씨드 속에서 씨드 6.7과 대처를 가장 잘했던 파커를 찾아가서 완전 사면을 조건으로 씨드 6.7을 체포해달라고 요청한다. 씨드 6.7을 추적하면서 파커와 함께 한조를 이룬 여자는 범죄 심리학 박사인 켈리 박사로 그녀와 함께 씨드 6.7의 개발 과정을 본 파커는 대경 실색하게 된다. 왜냐하면 그가 갖고 있는 인성인자 속에는 자기의 아내와 딸을 살해한 매튜 그라임즈(Matthew Grimes: 크리스토퍼 머레인 분)의 인성인자가 있었고 씨드 6.7의 행동 방식은 그의 것과 거의 유사했기 때문이다.@  정치 테러범이던 그라임즈처럼 씨드 6.7도 많은 사람들을 희생시키길 좋아하며 특히 방송타는걸 좋아하고 있었다. 씨드 6.7의 계략에 빠져 번번히 그를 놓치고마는 파커와 켈리 박사 그리고 경찰들. 씨드 6.7의 음모에 의해 파커는 다시금 민간인을 살해했다는 누명을 쓰게 되지만 켈리 박사와 그의 오랜 친구 빌리 반장의 도움으로 누명을 벗고 씨드 6.7을 다시 추적하게 된다. 씨드 6.7은 이번에는 켈리 박사의 딸을 납치해 폭파장치를 하고 비밀장소에 숨겨놓은후 방송사를 습격해 인질들을 전국에 방송한다. 이에 경악한 파커는 박사와 함께 씨드 6.7을 추격하여 격렬한 격투 끝에 씨드 6.7의 몸체에서 모듈을 빼내어 그를 제거한다. 그리고 다시 컴퓨터 씨드에 모듈을 꽂아 켈리 박사의 딸이 있는 곳을 찾아내고 박사의 딸을 무사히 구해낸다. 파커는 악마같은 씨드 6.7의 모듈을 도로에 던져버리고 모듈은 지나가던 차바퀴에 산산조각이 나서 파괴된다.,해외,미국,mOv2X3tDxNo,-,-,15세 관람가,106분,-,케빈 J. 오코너 윌리암 피츠너 루이즈 플레쳐 윌리엄 포사이스 스티븐 스피넬라 러셀 크로우 켈리 린치 덴젤 워싱턴 ,  에릭 번트 Eric Bernt (각본) 게리 루체시 Gary Lucchesi (제작) 지멀 에버렛 Gimel Everett (공동제작) 호크 코치 Hawk Koch (기획) 게일 태터샐 Gale Tattersall (촬영) 크리스토퍼 영 Christopher Young (음악) 닐로 로디스 자메로 Nilo Rodis-Jamero (미술) 프랜신 제이미슨 탠척 Francine Jamison-Tanchuck (의상) 롭 코브린 Rob Kobrin (편집) 로버트 맥민 Robert McMinn (Ass-PD) 데보라 아퀼라 Deborah Aquila (배역) 제인 샤논 Jane Shannon (배역),-,-,-,-,yrwjVxska0w
1995,1995 .03.18 개봉,영화,드라마,가을의 전설,에드워드 즈윅,https://movie-phinf.pstatic.net/20111223_212/1324567937299Wj3Kc_JPEG/movie_image.jpg,원스텝(One Stab: 고든 투투시스 분)이란 인디언이 평생 동안 그가 지켜보았던 루드로우 일가의 일대기를 회상하는 형식으로 이야기는 시작된다. 미합중국 정부의 인디언 정책에 불만을 갖고 있던 윌리엄 러드로우 대령(Ludlow: 안소니 홉킨스 분)은 퇴역 후 몬타나에 정착하여 외딴 곳에 목장을 짓고 세아들을 키우며 산다. 장남 알프레드(Alfred: 에이단 퀸 분)와 막내 새뮤얼(Samuel: 헨리 토마스 분) 그리고 거칠은 둘째 트리스탄(Tristan: 브래드 피트 분)이 이들이다. 다들 강하게 자라났지만 그중 특히 늦가을에 태어난 트리스탠은 강인한 성격과 약간 반항적인 기질에도 불구하고 모든 이의 사랑을 받으며 커간다. 전쟁을 겪어봤기 때문에 전쟁을 혐오하는 대령 밑에서 세 형제는 각기 잘 자라주지만 미국 서부 산악 지대 몬태나의 추운 겨울을 끔찍이 싫어하던 어머니 이사벨(Isabel: 크리스티나 피클스 분)은 멀리 떠나가 버리고 결국 부자(父子)들만 남아 원스텝을 포함한 원주민 인디언 몇몇과 어울려 평화롭게 지내고 있었다.@  어느 날 유학갔던 막내 새뮤엘이 약혼녀 수잔나(Susannah: 줄리아 오몬드 분)를 데리고 나타난다. 사랑스러운 수잔나를 보는 순간 형제들의 마음이 모두 흔들리지만 누구도 내색을 할 수는 없는 일. 그러나 새뮤엘이 형제들과 제1차 세계대전에 참전하겠다는 뜻을 밝힌 후 수잔나는 슬픈 나머지 트리스탠의 품에 안겨 흐느껴운다. 수잔나도 둘째 트리스탠을 보자 마자 사랑에 빠진 것 이 현장을 알프레드가 잠깐 보지만 형제 셋이 전장으로 떠나면서 이 일은 일단 묻혀진다. 전쟁터에서 트리스탠은 막내 새뮤엘을 열심히 보호하지만 영웅주의에 빠져 행동하던 새뮤엘은 결국 적군의 총에 목숨을 잃는다. 큰 형 알프레드도 다리를 다쳐서 집으로 돌아오고 막내를 끝까지 지키지 못한 트리스탠은 죄책감에 바다로 떠나버린다. 예비 시아버지와 함께 약혼자 새뮤엘의 시신을 맞이한 수잔나는 그 다음날로 자신의 집으로 돌아갈 채비를 한다. 그러나 폭설로 인해 철도가 끊기자 루드로우 대령의 권유도 있고 해서 수잔나는 봄이 되면 돌아가기로 하고 계속 머문다.@  큰 형 알프레드는 막내 새뮤엘이 죽자 내심 사랑하던 수잔나와 결혼하기로 한다. 그러나 트리스탠이 먼 길에서 돌아오자 일은 엉클어진다. 마음 속 깊이 트리스탠의 거칠고 남자다운 면을 사랑하던 수잔나는 트리스탠과 잠자리를 같이하고 알프레드의 마음에 못을 박는다. 알프레드는 배반감에 떨며 몬태나 집을 떠나 도시 헬레나로 나가 거기서 착실히 부와 명성을 쌓아 상원의원의 자리에까지 오른다. 한편 트리스탠은 수잔나를 내버려둔 채 속에서 끓어오르는 그 뭔가를 참지못하고 집을 떠나 몇 년간 연락을 끊는다. 그러다 날아온 편지 한장. 다른 사람과 결혼하라는 트리스탠의 글귀. 이를 본 루드로우 대령은 뇌졸증으로 쓰러지고 집안은 점점 황폐해가는데.,해외,미국,KzejGPw7tXI,-,-,청소년 관람불가,133분,-,탄투 카디날 폴 데스몬드 크리스티나 피클스 고든 투투시스 카리나 롬바드 헨리 토마스 줄리아 오몬드 에이단 퀸 안소니 홉킨스 브래드 피트 ,  수잔 쉴리데이 Susan Shilliday (각본) 빌 윗리프 Bill Wittliff (각본) 짐 해리슨 Jim Harrison (원작자) 에드워드 즈윅 Edward Zwick (제작) 빌 윗리프 Bill Wittliff (제작) 마샬 허스코비츠 Marshall Herskovitz (제작) 제인 바텔름 Jane Bartelme (공동제작) 사라 카플란 Sarah Caplan (공동제작) 패트릭 크로울리 Patrick Crowley (기획) 존 톨 John Toll (촬영) 제임스 호너 James Horner (음악) 릴리 킬버트 Lilly Kilvert (미술) 데보라 린 스콧 Deborah Lynn Scott (의상) 스티븐 로젠블럼 Steven Rosenblum (편집) 메리 콜크호운 Mary Colquhoun (배역),배우/제작진 수상 이력@수상정보 테이블표@1995@제 67회 미국 아카데미 시상식@후보@미술상 (릴리 킬버트)@후보@음향믹싱상 (Paul Massey)@수상@촬영상 (존 톨)@제 52회 골든 글로브 시상식@후보@감독상 (에드워드 즈윅)@후보@남우주연상-드라마 (브래드 피트)@후보@음악상 (제임스 호너)@후보@작품상-드라마 (에드워드 즈윅),-,-,-,TSxhxmlv1n0
